A25 B25 C25 D25 F25 G25 H25 I25 J25 K25 L25 PMA A100 B100 C100 D100 F100 G100 H100 I100 J100 K100 L100 median
C27D8.1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C27D8.2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
C27D8.3b 2 2 2 2 2 1 1 2 2 1 2 2 2 2 1 2 2 1 2 2 2 1 1 2
C27H5.2d 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
C28A5.4 1 1 2 1 1 2 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1
C28A5.6 1 1 1 1 1 1 1 2 2 1 1 1 1 2 1 1 1 2 1 1 2 1 1 1
C28C12.1c 2 2 2 2 1 2 1 1 1 1 2 2 1 2 1 1 1 1 1 2 1 1 2 1
C28F5.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
C30F12.5a.2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1
C30G12.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
C30G12.6a 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
C30G7.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
C34C12.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
C34C12.9 2 2 1 2 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1
C34D4.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
C35B1.5 1 2 2 2 2 1 2 2 2 2 2 2 1 1 1 2 2 2 1 2 2 2 2 2
C35C5.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1
C36B1.9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
C36B7.6 1 1 1 1 1 2 1 1 1 1 2 1 2 1 2 2 2 2 2 2 2 2 1 1
C36C9.3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 2 2 1 1
C36F7.1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1
C36F7.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
C37A5.9 1 2 2 2 1 2 1 2 1 1 2 1 1 1 1 2 2 2 1 1 2 2 2 2
C38D9.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
C38D9.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
C38H2.3 2 2 2 2 2 1 1 1 2 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1
C39B5.3 2 2 1 2 2 2 1 1 1 2 2 2 1 1 1 2 2 2 1 1 1 2 2 2
C40A11.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1
C41C4.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
C42D4.19 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
C43D7.10 1 1 1 1 2 2 1 1 1 2 1 1 2 1 1 2 1 2 2 2 1 2 1 1
C43D7.11 1 1 1 1 2 1 1 1 1 2 2 1 2 1 1 1 1 2 1 1 1 2 1 1
C44B7.11 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
C44H9.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
C45E1.1a 1 2 1 1 1 2 1 1 2 1 1 1 2 2 1 1 2 2 1 2 1 1 1 1
C45G7.13 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
C46A5.8 2 1 2 2 2 1 2 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 2 1
C46F11.6 1 2 1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 2 1 2 1
C46G7.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 2 2 1
C47B2.8 1 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 1 1 2 2 1 1 2
C48B6.9 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C48D1.6 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C49F5.1.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1
C49G7.11 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1
C53C7.5b 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
C54E10.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
C55C3.3 1 1 2 1 2 1 1 1 1 2 2 2 1 2 1 1 1 2 1 1 1 2 2 1
C55C3.7 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C56G7.3c 2 1 1 1 2 2 1 1 2 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1
D1005.3 1 1 1 1 2 2 2 2 1 2 2 2 1 1 2 1 2 1 2 1 2 1 2 2
D1037.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
D1054.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
D2024.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
D2024.18 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
D2085.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F01D4.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1
F01F1.3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1
F07A11.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F07B7.12 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F07D10.1 1 2 1 1 2 1 2 2 1 1 2 2 1 2 1 1 1 1 1 1 1 2 1 1
F07G6.7 2 2 1 2 2 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 1 2 1
F07H5.5b 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F08A8.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F08F8.3a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F08G12.4 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1
F08G5.3d 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 2 1 2 1 1
F09B12.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F11A5.18 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1
F13B12.7 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1
F13H8.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F13H8.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F14F4.3b 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1
F16B4.6a 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 2
F17B5.1a 2 1 2 1 1 2 2 2 2 2 1 2 2 2 1 1 1 1 1 1 2 1 1 1
F19H6.5 2 2 1 2 2 2 2 2 2 2 2 2 2 1 1 1 2 1 1 2 1 1 1 2
F20D1.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1
F21D5.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F21D9.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 1
F22B7.9 1 1 1 1 1 2 1 1 1 1 2 1 1 2 2 1 1 1 1 2 1 2 1 1
F22F1.2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
F22H10.10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
F23A7.7 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 1 2
F23B12.4c.2 1 2 2 1 1 1 1 2 2 1 1 1 1 2 1 1 1 1 2 1 1 1 2 1
F23C8.8 1 2 2 2 1 1 1 2 1 1 1 2 2 2 1 1 1 1 2 2 2 2 1 1
F25G6.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F26D10.9a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1
F28H7.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F31C3.11 1 2 2 1 1 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1
F31E9.6 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 1 1 1 1 1 1 1 2 2
F32A7.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
F32A7.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1
F32D8.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F33D11.8 2 2 2 2 2 1 1 1 1 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1
F33E2.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F33H12.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
F35C5.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F35H10.5 2 2 1 1 1 2 1 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1
F36A2.3 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 1 1 2 2 1 1 2
F36G9.4 2 2 2 2 2 1 1 1 2 1 2 2 1 1 1 1 2 1 1 2 1 1 1 1
F36H5.11 1 1 1 2 1 1 2 2 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1
F37B4.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F38A1.5 2 2 1 2 2 1 1 1 1 2 1 1 1 1 2 1 2 1 1 1 1 2 1 1
F39C12.1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 2 1 1 1 2 1 1 2 1 1
F39D8.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
F39E9.6 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
F39G3.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F40A3.5 2 2 2 2 2 2 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
F40D4.16 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1
F40D4.17 1 1 2 1 1 1 2 2 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1
F42C5.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F42F12.3 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 1 2 2 1 1 1 1 1 2
F42G4.6 2 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
F42G4.7 1 1 2 2 2 2 1 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1
F42G8.11 1 2 2 2 2 1 2 2 1 2 1 2 1 1 2 1 1 1 1 2 1 1 1 1
F42G8.4b.1 2 2 2 2 2 2 2 2 2 2 1 2 2 1 1 2 2 2 1 2 2 2 2 2
F42G8.5 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
F44G3.6.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
F45C12.8 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1
F45H10.1b 2 2 2 2 2 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
F46C3.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F46F5.3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
F46F5.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1
F47A4.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F47A4.5 1 1 1 1 1 2 1 1 1 1 2 1 2 1 1 1 1 1 2 1 2 2 1 1
F47B8.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
F47B8.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
F47B8.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
F47F6.1b 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F48E3.9 1 1 1 1 1 2 1 1 1 1 2 1 1 2 1 1 1 1 1 2 1 1 1 1
F49B2.3 2 2 1 2 2 2 1 2 2 2 1 2 1 1 2 2 2 2 1 1 1 1 2 2
F49C12.15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F49C5.4 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 2 1 1
F49E11.2 2 1 1 1 1 1 1 1 2 2 2 1 1 2 1 1 1 2 1 2 1 2 1 1
F49E7.1a 1 1 1 1 2 2 2 2 1 2 2 1 2 1 1 2 2 2 2 1 2 2 1 2
F52C9.1.2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1
F53A3.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F53B6.2c 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
F53B6.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 2 1 1
F53B6.7 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1
F54C9.4 1 1 2 2 2 1 1 2 2 2 2 2 2 2 1 2 2 1 2 2 2 1 1 2
F54D10.2 2 2 2 2 2 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1
F54F7.6.2 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 2 2 2 2 1 1
F54F7.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
F55A4.4 2 2 2 2 2 2 1 1 1 2 2 2 1 1 1 1 2 1 1 1 1 1 1 1
F55C9.13 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
F55C9.14 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
F55C9.7 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 1
F55C9.8 1 1 2 1 2 2 1 1 1 1 2 1 2 1 1 1 1 2 1 2 1 2 1 1
F55G1.10 1 1 1 2 1 2 1 1 1 2 2 1 2 1 1 2 1 1 2 1 2 1 1 1
F55G11.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F55H12.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F56B3.2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 1 1 1 1 1 1 1 2
F56D12.4a 1 2 2 2 2 2 2 2 2 1 2 2 2 2 1 2 2 2 1 1 1 2 1 2
F56D2.3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 2 1
F56D6.15 1 1 1 1 2 2 2 1 2 2 2 1 1 2 1 1 2 2 2 1 2 1 1 1
F57G4.4 1 2 2 2 2 1 1 1 1 2 2 2 1 1 2 1 1 1 1 1 1 1 1 1
F57G4.8 1 2 2 2 2 2 1 2 2 2 2 2 1 1 2 1 1 1 2 1 1 1 1 2
F58B3.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F58E1.13 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 1
F58E10.7 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 2 2 1
F58G6.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
F59A1.9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
F59A7.7 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
F59E12.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1
H05C05.4 1 2 1 2 1 1 1 1 1 2 1 2 1 2 1 1 1 1 1 1 1 1 1 1
H06O01.4 1 1 1 1 1 2 2 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1
H14A12.5 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
H14E04.3 1 2 2 1 1 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1
H19M22.2b 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
K01D12.1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1
K02C4.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
K06C4.17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
K07E8.10 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 2 2 1
K07H8.6c 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1
K08C9.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
K08D12.4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1 1 2 1 1 2
K08F8.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
K09A9.4 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1
K09E3.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
K09F6.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 1
K09H9.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
K10B3.10b 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
K10D2.8 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1
K10F12.4a 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
K10G9.2 1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 2 1
K11C4.3c 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
K11D2.1b 2 2 2 2 2 2 2 2 2 2 1 2 1 1 1 2 1 1 2 1 2 1 1 2
K11D2.2.1 1 1 2 2 1 2 1 1 2 1 1 1 1 1 1 2 1 1 1 1 2 1 2 1
K12B6.9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
M01E10.2a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
M01E11.4c 1 2 1 1 1 2 2 1 1 2 2 1 2 2 1 2 2 1 1 2 1 2 2 2
M03A8.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
M04B2.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
M04B2.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
M04G12.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
