A25 B25 C25 D25 F25 G25 H25 I25 J25 K25 L25 PMA A100 B100 C100 D100 F100 G100 H100 I100 J100 K100 L100 median
R01H10.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
R02F2.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
R04B5.9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1
R06A10.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
R06C1.4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 1 2 1 1 2
R07B1.10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
R07E5.4 1 2 1 1 2 1 2 2 2 2 1 2 1 1 2 1 2 1 2 1 1 2 1 1
R07H5.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
R08E3.3b 1 1 1 1 1 2 1 1 1 1 2 1 2 1 1 1 1 1 2 2 2 2 1 1
R102.4e.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
R10E4.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
R10F2.1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 1 2 1 1 1 1
R11E3.3 1 2 1 1 2 1 1 2 2 1 2 2 2 2 1 1 1 1 1 1 2 1 2 1
R12B2.1b.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
R151.1c 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
R186.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
T02B11.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
T02G5.4 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1 1 2
T03F6.1 2 1 2 1 2 1 2 2 2 1 2 1 2 2 2 2 2 1 2 1 2 1 1 2
T04D1.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
T05C3.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 1
T05C3.6a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 1
T05D4.1.2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 2 2 1
T05E11.9 2 2 1 2 2 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 1 1 1
T05G5.4 1 1 1 2 1 1 2 1 2 1 1 2 1 1 1 1 1 1 1 2 1 2 1 1
T07D4.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
T08B2.4 1 2 2 2 2 2 1 2 2 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1
T10A3.1a 2 2 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
T10C6.12 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
T10D4.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
T10D4.5 2 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
T11G6.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
T12B5.1 2 2 1 2 2 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 1 1 1
T12B5.2 2 2 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1
T12B5.6b 2 2 1 2 2 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 1 1 1
T13H5.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
T14G10.8a.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
T14G11.3 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 1 1 1
T16G12.4 2 1 1 2 1 1 2 1 1 2 2 1 1 1 1 1 2 1 1 1 1 1 1 1
T16H12.2 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1
T20F10.7 1 1 2 2 2 1 1 2 1 2 1 1 2 1 1 2 1 1 2 1 2 1 2 1
T20F5.5 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
T20F7.6 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1
T20H4.2 1 2 1 2 2 1 1 1 1 1 1 2 1 1 1 1 1 2 1 2 1 2 1 1
T22A3.4b 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
T23D8.6 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 2 1 1 2 1 1 1 1 1
T23F6.1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
T23F6.3a 1 1 1 1 1 2 1 1 1 1 2 1 1 2 1 1 1 2 1 1 1 2 1 1
T23G11.1 2 2 2 2 2 1 2 2 1 1 2 1 1 2 2 1 1 1 1 2 1 1 1 1
T23G11.11 2 2 2 2 1 2 2 2 2 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1
T24A11.3 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1
T25C12.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
T25D3.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 1
T27F2.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
T28B8.1.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1
T28D6.4 1 1 1 2 2 1 1 1 1 1 2 1 2 2 2 1 2 2 2 1 2 2 1 1
T28F2.1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
T28F3.4a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
T28H10.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
VW06B3R.1b 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1
VY10G11R.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
W01A11.3c 1 1 1 1 1 1 1 1 1 2 2 1 1 1 2 1 1 1 1 2 1 2 2 1
W01A11.6 1 1 1 2 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1
W01A11.7.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
W02A2.1a 1 2 1 1 1 1 1 1 2 1 1 1 2 2 1 1 1 2 1 2 1 1 1 1
W02B8.3 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
W02D9.10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1
W03C9.6.2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 2 1
W03D2.5c 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
W03F11.5 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1
W04A8.2 1 2 1 2 2 1 1 1 1 2 2 1 1 1 1 1 2 1 2 1 1 1 1 1
W04B5.3c 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1
W05B2.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1
W05F2.6a 1 1 1 1 1 2 1 1 1 1 2 1 2 1 1 1 1 2 2 2 2 1 1 1
W05H9.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
W06A11.4 2 2 2 2 2 1 2 2 2 2 2 2 1 2 2 2 2 1 2 1 2 2 1 2
W09D6.5 1 1 1 1 2 2 1 1 1 2 2 1 1 1 2 1 1 1 2 2 1 2 1 1
Y102A11A.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
Y102A5C.6 2 1 2 2 2 2 2 2 2 2 2 2 1 1 2 1 2 1 2 1 1 1 1 2
Y102A5C.8 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 2 1 2 2 1
Y105C5A.1269 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
Y110A7A.20 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1
Y116A8C.18 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
Y116F11A.1 1 1 1 2 2 2 2 2 1 2 2 1 1 1 2 2 2 2 2 2 1 2 2 2
Y119D3B.21 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1
Y119D3B.8 2 2 1 2 2 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 2 1 1
Y17D7B.10 2 2 1 2 2 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 2 1 1
Y17D7B.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
Y17D7B.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
Y17D7C.3 1 2 1 2 2 2 1 2 1 2 2 2 1 1 1 1 2 1 1 1 1 2 1 1
Y17D7C.4 2 2 1 2 2 1 1 1 1 1 1 2 1 1 1 2 2 1 1 1 1 1 1 1
Y18H1A.14 1 2 2 2 1 2 1 1 2 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1
Y20F4.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1
Y22F5A.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1
Y26G10.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
Y34F4.5a 2 2 2 1 2 2 2 2 1 2 2 2 1 1 1 2 1 1 1 1 1 1 1 1
Y37E11AL.1 1 2 2 2 2 1 1 1 1 2 2 2 1 2 1 1 2 2 1 2 1 2 1 2
Y37E3.5c 1 1 1 1 1 2 2 2 1 2 1 1 2 1 1 1 2 1 1 2 2 2 2 1
Y37E3.7.1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
Y37H2B.1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 2 1 1
Y38F2AL.12 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1 1 1 1 1 1 1 2
Y38F2AR.10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
Y39A3CL.2 1 1 1 1 1 2 1 1 1 1 2 1 2 2 1 1 2 1 1 1 1 1 2 1
Y39A3CR.8b 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
Y39B6A.11 2 1 1 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
Y39B6A.41 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
Y39B6A.9 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1
Y39D8B.3 2 2 2 2 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Y39G10AR.17 1 1 2 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Y40A1A.4 2 2 1 2 2 2 1 1 1 2 2 2 1 1 2 2 2 2 1 2 1 2 1 2
Y43F8B.22 2 2 1 2 2 1 1 1 1 2 1 2 1 1 1 2 2 1 1 1 1 2 1 1
Y43F8B.8 2 2 1 2 2 1 1 1 1 2 1 2 1 1 1 2 2 1 1 1 1 1 1 1
Y43F8B.9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
Y44E3A.2 2 1 2 2 1 2 2 2 2 1 2 1 2 2 2 2 2 1 2 2 1 2 1 2
Y45F10D.10a 2 1 1 1 1 1 1 1 1 2 1 1 1 2 2 2 1 2 1 2 1 1 1 1
Y46C8AL.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
Y47D7A.16 1 1 2 2 2 2 1 2 1 2 1 1 2 2 1 1 2 2 2 2 2 2 2 2
Y47H10A.1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1
Y47H9C.10 2 2 2 2 2 1 2 2 2 2 2 2 1 1 1 1 2 1 1 1 1 1 1 2
Y48G10A.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
Y48G1C.5 1 2 1 2 1 1 1 1 1 1 1 2 1 2 1 1 1 2 1 2 1 2 2 1
Y49A3A.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
Y49F6A.10 2 2 1 2 2 2 1 1 1 2 1 2 1 1 2 2 2 2 1 1 1 2 2 2
Y49F6A.5 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1
Y50E8A.14 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 2 1
Y53C10A.3 2 2 2 2 1 2 1 1 2 1 2 2 2 1 1 1 1 1 1 1 2 1 1 1
Y53F4B.16 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1
Y53F4B.17 1 1 1 2 1 2 1 1 1 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1
Y53F4B.45 2 2 1 2 2 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 1 2 1 1
Y53G8AM.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1
Y53H1B.1 2 2 2 2 1 1 2 2 2 2 1 1 2 1 1 1 2 1 1 1 1 1 1 1
Y54E2A.4a 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 1 2 1 1 2
Y54F10AM.11 1 2 1 2 2 2 1 2 2 1 1 2 1 1 1 1 1 2 1 1 1 2 1 1
Y54F10BM.15 2 2 2 2 2 1 1 1 1 2 1 2 1 1 2 1 2 1 1 1 1 1 1 1
Y54G2A.44 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
Y55F3AM.2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
Y57G11C.1130 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1
Y60A3A.24 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
Y60A3A.27 2 2 1 2 2 1 1 1 1 2 1 2 1 1 1 2 2 2 1 1 1 2 1 1
Y62E10A.3 1 2 2 2 2 1 1 2 1 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1
Y62E10A.4a 2 2 2 2 2 2 1 2 2 1 2 2 2 2 1 1 2 1 1 1 1 1 1 2
Y65B4BL.7a 2 2 1 2 1 1 1 1 2 1 2 1 2 2 1 2 2 2 1 2 2 2 1 2
Y67D8A.3 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Y68A4A.13 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
Y69A2AR.14 1 1 1 1 1 2 1 1 1 1 2 2 1 2 1 1 1 1 1 1 1 2 2 1
Y69A2AR.31 1 2 2 1 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 2 1 1 2 2
Y71F9AL.5 1 1 1 1 1 1 2 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1
Y71G12A.3a 1 2 2 2 2 1 2 2 1 1 1 2 2 1 2 2 2 2 1 1 1 1 1 2
Y71G12B.11e 1 2 1 2 2 1 2 2 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
Y71H2AL.2 2 2 1 2 2 2 2 1 2 1 2 1 1 2 1 1 2 2 1 2 2 1 2 2
Y73F8A.32b 1 1 1 1 2 1 2 2 1 2 2 1 2 1 1 1 1 1 2 1 1 1 1 1
Y75D11A.5 2 2 2 2 2 2 1 2 2 2 2 2 1 1 1 1 1 1 2 1 1 2 1 2
Y75D11A.7 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1
Y76A2B.2 1 2 1 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 2 2 2
Y76B12C.4a 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
Y7A5A.21 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
Y7A5A.22 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
Y80D3A.1 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 2
Y81G3A.4a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
Y82E9BL.18 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
Y82E9BR.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
Y87G2A.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
Y8G1A.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
Y94H6A.12a 2 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Y94H6A.7 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1
Y95B8A.1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1
Y95B8A.10c 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ZC123.4c 2 2 2 2 2 2 1 2 1 1 2 2 1 2 1 2 2 2 1 1 2 1 1 2
ZC15.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1
ZC190.7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
ZC190.8 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1
ZC204.2 1 2 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 2 1 1
ZC317.6 2 1 1 2 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1
ZC328.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ZC416.1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 2 1 1 2 1 1 1
ZC84.3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1
ZK1098.6 1 2 2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1
ZK1098.7 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ZK1128.7 2 2 2 2 1 1 1 2 2 1 1 2 1 1 1 1 2 1 1 2 1 1 1 1
ZK1151.1g 1 1 1 1 1 1 1 1 1 2 1 1 2 2 2 2 1 2 2 2 2 2 1 1
ZK1236.9b 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1
ZK131.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ZK177.9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ZK228.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 2 2 1
ZK250.15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
ZK355.2b 2 2 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 2 1 1 2 1 1 2
ZK673.4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ZK856.5 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 2 2 1 2 1 1
ZK909.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1
ZK945.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ZK973.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
