"cosmid_ID" "WBgene_ID" "cosmid_ID_iso" "epimutable_genes" "epimutable_genes_genbygen" "genes_with_heritable_22Gs" "HV22Gs" "piRNA_targets" "csr1_targets" "hrde1_targets" "wago1_targets" "nrde3_targets" "ergo1_targets" "alg34_targets" "PATCs" "any5" "all5" "H3K9me2" "H3K9me3" "active" "border" "regulated" "X"
"29" "AH6.1" "WBGene00001528" "AH6.1" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"30" "AH6.10" "WBGene00005032" "AH6.10" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"31" "AH6.11" "WBGene00005033" "AH6.11" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"32" "AH6.12" "WBGene00005034" "AH6.12" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"33" "AH6.14" "WBGene00005035" "AH6.14" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"34" "AH6.17" "WBGene00219290" "AH6.17" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"35" "AH6.2" "WBGene00007080" "AH6.2" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"36" "AH6.3" "WBGene00007081" "AH6.3" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"37" "AH6.4" "WBGene00005027" "AH6.4" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"38" "AH6.5" "WBGene00003231" "AH6.5" FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"39" "AH6.6" "WBGene00005028" "AH6.6" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
