"V1" "V11"
"2005" "rps-12" "WBGene00004481"
"2006" "rps-13" "WBGene00004482"
"2007" "rps-14" "WBGene00004483"
"2008" "rps-15" "WBGene00004484"
"2009" "rps-16" "WBGene00004485"
"2010" "rps-17" "WBGene00004486"
"2011" "rps-18" "WBGene00004487"
"2012" "rps-19" "WBGene00004488"
"2013" "rps-21" "WBGene00004490"
"2014" "rps-22" "WBGene00004491"
"2015" "rps-23" "WBGene00004492"
"2016" "rps-24" "WBGene00004493"
"2017" "rps-25" "WBGene00004494"
"2018" "rps-26" "WBGene00004495"
"2019" "rps-27" "WBGene00004496"
"2020" "rps-28" "WBGene00004497"
"2021" "rps-29" "WBGene00004498"
"2022" "rps-30" "WBGene00004499"
"2023" "rpt-1" "WBGene00004501"
"2024" "rpt-2" "WBGene00004502"
"2025" "rpt-3" "WBGene00004503"
"2026" "rpt-4" "WBGene00004504"
"2027" "rpt-5" "WBGene00004505"
"2028" "rpt-6" "WBGene00004506"
"2029" "rpy-1" "WBGene00004507"
"2030" "rrf-1" "WBGene00004508"
"2031" "rrf-2" "WBGene00004509"
"2032" "rrf-3" "WBGene00004510"
"2033" "rrn-1.1" "WBGene00004512"
"2034" "rrn-1.2" "WBGene00004513"
"2035" "rrn-2.1" "WBGene00004567"
"2036" "rrn-3.1" "WBGene00004622"
"2037" "rrn-3.56" "WBGene00004677"
"2038" "rars-1" "WBGene00004679"
"2039" "rars-2" "WBGene00004680"
"2040" "rsd-2" "WBGene00004681"
"2041" "rsd-3" "WBGene00004682"
"2042" "rsd-6" "WBGene00004684"
"2043" "rsp-1" "WBGene00004698"
"2044" "rsp-2" "WBGene00004699"
"2045" "rsp-3" "WBGene00004700"
"2046" "rsp-5" "WBGene00004702"
"2047" "rsp-6" "WBGene00004703"
"2048" "rsp-7" "WBGene00004704"
"2049" "rsp-8" "WBGene00004705"
"2050" "san-1" "WBGene00004721"
"2051" "sap-49" "WBGene00004723"
"2052" "sas-4" "WBGene00004726"
"2053" "sax-1" "WBGene00004727"
"2054" "sax-2" "WBGene00004728"
"2055" "sax-3" "WBGene00004729"
"2056" "sax-7" "WBGene00004732"
"2057" "sbp-1" "WBGene00004735"
"2058" "sca-1" "WBGene00004736"
"2059" "scc-1" "WBGene00004737"
"2060" "scc-3" "WBGene00004738"
"2061" "scd-1" "WBGene00004739"
"2062" "scd-2" "WBGene00004740"
"2063" "scm-1" "WBGene00004743"
"2064" "scp-1" "WBGene00004744"
"2065" "sdc-1" "WBGene00004745"
"2066" "sdc-2" "WBGene00004746"
"2067" "sdc-3" "WBGene00004747"
"2068" "sdf-9" "WBGene00004748"
"2069" "sdn-1" "WBGene00004749"
"2070" "sea-1" "WBGene00004750"
"2071" "sec-5" "WBGene00004752"
"2072" "sec-8" "WBGene00004753"
"2073" "sec-23" "WBGene00004754"
"2074" "sec-24.1" "WBGene00004755"
"2075" "sec-24.2" "WBGene00004756"
"2076" "sek-1" "WBGene00004758"
"2077" "sel-1" "WBGene00004759"
"2078" "sel-2" "WBGene00004760"
"2079" "sel-5" "WBGene00004762"
"2080" "sel-8" "WBGene00004765"
"2081" "sel-9" "WBGene00004766"
"2082" "sel-11" "WBGene00004768"
"2083" "sel-12" "WBGene00004769"
"2084" "sem-2" "WBGene00004771"
"2085" "sem-4" "WBGene00004773"
"2086" "sem-5" "WBGene00004774"
"2087" "sep-1" "WBGene00004775"
"2088" "ser-3" "WBGene00004778"
"2089" "ser-7" "WBGene00004780"
"2090" "set-1" "WBGene00004781"
"2091" "set-2" "WBGene00004782"
"2092" "seu-1" "WBGene00004783"
"2093" "sex-1" "WBGene00004786"
"2094" "sft-1" "WBGene00004787"
"2095" "sft-4" "WBGene00004788"
"2096" "sgk-1" "WBGene00004789"
"2097" "sid-1" "WBGene00004795"
"2098" "sid-2" "WBGene00004796"
"2099" "sip-1" "WBGene00004798"
"2100" "sir-2.1" "WBGene00004800"
"2101" "sir-2.2" "WBGene00004801"
"2102" "sir-2.4" "WBGene00004803"
"2103" "skn-1" "WBGene00004804"
"2104" "skp-1" "WBGene00004806"
"2105" "skr-1" "WBGene00004807"
"2106" "skr-2" "WBGene00004808"
"2107" "skr-3" "WBGene00004809"
"2108" "skr-4" "WBGene00004810"
"2109" "skr-7" "WBGene00004813"
"2110" "skr-11" "WBGene00004817"
"2111" "skr-14" "WBGene00004820"
"2112" "skr-15" "WBGene00004821"
"2113" "skr-16" "WBGene00004822"
"2114" "skr-17" "WBGene00004823"
"2115" "F56B3.4" "WBGene00004824"
"2116" "skr-19" "WBGene00004825"
"2117" "skr-20" "WBGene00004826"
"2118" "skr-21" "WBGene00004827"
"2119" "sli-1" "WBGene00004829"
"2120" "slo-1" "WBGene00004830"
"2121" "sma-1" "WBGene00004855"
"2122" "sma-2" "WBGene00004856"
"2123" "sma-3" "WBGene00004857"
"2124" "sma-4" "WBGene00004858"
"2125" "sma-5" "WBGene00004859"
"2126" "sma-6" "WBGene00004860"
"2127" "sma-9" "WBGene00004862"
"2128" "smc-3" "WBGene00004873"
"2129" "smc-4" "WBGene00004874"
"2130" "smd-1" "WBGene00004875"
"2131" "smf-1" "WBGene00004876"
"2132" "smg-1" "WBGene00004879"
"2133" "smg-2" "WBGene00004880"
"2134" "smg-3" "WBGene00004881"
"2135" "smg-4" "WBGene00004882"
"2136" "smg-5" "WBGene00004883"
"2137" "smg-6" "WBGene00004884"
"2138" "smg-7" "WBGene00004885"
"2139" "smi-1" "WBGene00004886"
"2140" "smn-1" "WBGene00004887"
"2141" "smo-1" "WBGene00004888"
"2142" "smp-1" "WBGene00004889"
"2143" "smp-2" "WBGene00004890"
"2144" "smr-1" "WBGene00004891"
"2145" "sms-2" "WBGene00004893"
"2146" "sms-3" "WBGene00004894"
"2147" "smu-1" "WBGene00004895"
"2148" "smu-2" "WBGene00004896"
"2149" "snb-1" "WBGene00004897"
"2150" "snb-2" "WBGene00004898"
"2151" "snb-5" "WBGene00004899"
"2152" "snf-1" "WBGene00004900"
"2153" "snf-2" "WBGene00004901"
"2154" "snf-3" "WBGene00004902"
"2155" "snf-4" "WBGene00004903"
"2156" "snf-5" "WBGene00004904"
"2157" "snf-6" "WBGene00004905"
"2158" "snf-7" "WBGene00004906"
"2159" "snf-8" "WBGene00004907"
"2160" "snf-9" "WBGene00004908"
"2161" "snf-10" "WBGene00004909"
"2162" "snn-1" "WBGene00004913"
"2163" "snr-1" "WBGene00004914"
"2164" "snr-2" "WBGene00004915"
"2165" "snr-3" "WBGene00004916"
"2166" "snr-4" "WBGene00004917"
"2167" "snr-5" "WBGene00004918"
"2168" "snr-6" "WBGene00004919"
"2169" "snr-7" "WBGene00004920"
"2170" "snt-2" "WBGene00004922"
"2171" "snt-4" "WBGene00004924"
"2172" "snt-5" "WBGene00004925"
"2173" "snt-6" "WBGene00004926"
"2174" "snx-1" "WBGene00004927"
"2175" "soc-1" "WBGene00004928"
"2176" "sod-1" "WBGene00004930"
"2177" "sod-2" "WBGene00004931"
"2178" "sod-3" "WBGene00004932"
"2179" "sod-4" "WBGene00004933"
"2180" "sop-2" "WBGene00004945"
"2181" "sop-3" "WBGene00004946"
"2182" "sos-1" "WBGene00004947"
"2183" "spc-1" "WBGene00004951"
"2184" "spd-1" "WBGene00004952"
"2185" "spd-2" "WBGene00004953"
"2186" "spd-3" "WBGene00004954"
"2187" "spd-5" "WBGene00004955"
"2188" "spe-4" "WBGene00004958"
"2189" "spe-5" "WBGene00004959"
"2190" "spe-6" "WBGene00004960"
"2191" "spe-8" "WBGene00004962"
"2192" "spe-9" "WBGene00004963"
"2193" "spe-10" "WBGene00004964"
"2194" "spe-11" "WBGene00004965"
"2195" "spe-12" "WBGene00004966"
"2196" "spe-15" "WBGene00004969"
"2197" "spe-17" "WBGene00004971"
"2198" "spe-26" "WBGene00004972"
"2199" "spe-29" "WBGene00004974"
"2200" "spe-39" "WBGene00004975"
"2201" "spe-41" "WBGene00004976"
"2202" "spg-7" "WBGene00004978"
"2203" "sph-1" "WBGene00004979"
"2204" "spk-1" "WBGene00004980"
"2205" "spl-1" "WBGene00004981"
"2206" "spn-4" "WBGene00004984"
"2207" "spo-11" "WBGene00004985"
"2208" "spp-1" "WBGene00004986"
"2209" "spp-3" "WBGene00004988"
"2210" "spp-4" "WBGene00004989"
"2211" "spp-5" "WBGene00004990"
"2212" "spp-8" "WBGene00004993"
"2213" "spp-10" "WBGene00004995"
"2214" "spp-14" "WBGene00004999"
"2215" "spp-16" "WBGene00005001"
"2216" "spp-17" "WBGene00005002"
"2217" "spp-18" "WBGene00005003"
"2218" "spr-1" "WBGene00005006"
"2219" "spr-2" "WBGene00005007"
"2220" "spr-3" "WBGene00005008"
"2221" "spr-4" "WBGene00005009"
"2222" "spr-5" "WBGene00005010"
"2223" "F26F4.8" "WBGene00005011"
"2224" "F26F4.2" "WBGene00005012"
"2225" "jmjd-1.1" "WBGene00005013"
"2226" "spt-4" "WBGene00005014"
"2227" "spt-5" "WBGene00005015"
"2228" "sqv-1" "WBGene00005019"
"2229" "sqv-2" "WBGene00005020"
"2230" "sqv-3" "WBGene00005021"
"2231" "sqv-4" "WBGene00005022"
"2232" "sqv-5" "WBGene00005023"
"2233" "sqv-6" "WBGene00005024"
"2234" "sqv-7" "WBGene00005025"
"2235" "sqv-8" "WBGene00005026"
"2236" "sra-14" "WBGene00005040"
"2237" "src-1" "WBGene00005077"
"2238" "src-2" "WBGene00005078"
"2239" "srd-20" "WBGene00005098"
"2240" "srf-3" "WBGene00005153"
"2241" "sri-40" "WBGene00005552"
"2242" "srj-35" "WBGene00005620"
"2243" "srp-2" "WBGene00005643"
"2244" "srp-6" "WBGene00005647"
"2245" "srp-7" "WBGene00005648"
"2246" "srp-9" "WBGene00005650"
"2247" "srp-10" "WBGene00005651"
"2248" "sars-2" "WBGene00005662"
"2249" "sars-1" "WBGene00005663"
"2250" "srv-1" "WBGene00005712"
"2251" "srw-66" "WBGene00005813"
"2252" "srx-96" "WBGene00005987"
"2253" "ssp-9" "WBGene00006038"
"2254" "ssp-10" "WBGene00006039"
"2255" "ssp-11" "WBGene00006040"
"2256" "ssp-16" "WBGene00006044"
"2257" "ssp-19" "WBGene00006047"
"2258" "ssp-31" "WBGene00006048"
"2259" "ssp-32" "WBGene00006049"
"2260" "ssq-1" "WBGene00006050"
"2261" "ssq-2" "WBGene00006051"
"2262" "ssq-3" "WBGene00006052"
"2263" "ssq-4" "WBGene00006053"
"2264" "sss-1" "WBGene00006056"
"2265" "sss-2" "WBGene00006057"
"2266" "sst-20" "WBGene00006058"
"2267" "stc-1" "WBGene00006059"
"2268" "stl-1" "WBGene00006061"
"2269" "stn-1" "WBGene00006062"
"2270" "sto-1" "WBGene00006063"
"2271" "sto-4" "WBGene00006066"
"2272" "str-176" "WBGene00006220"
"2273" "suf-1" "WBGene00006307"
"2274" "sun-1" "WBGene00006311"
"2275" "sup-12" "WBGene00006321"
"2276" "sup-17" "WBGene00006324"
"2277" "sup-26" "WBGene00006331"
"2278" "sup-37" "WBGene00006342"
"2279" "sur-2" "WBGene00006349"
"2280" "sur-5" "WBGene00006351"
"2281" "sur-6" "WBGene00006352"
"2282" "sur-7" "WBGene00006353"
"2283" "swp-1" "WBGene00006359"
"2284" "syd-2" "WBGene00006364"
"2285" "syg-1" "WBGene00006365"
"2286" "sym-2" "WBGene00006367"
"2287" "sym-3" "WBGene00006368"
"2288" "sym-4" "WBGene00006369"
"2289" "syx-3" "WBGene00006371"
"2290" "syx-2" "WBGene00006372"
"2291" "syx-5" "WBGene00006373"
"2292" "syx-4" "WBGene00006374"
"2293" "syp-1" "WBGene00006375"
"2294" "syp-2" "WBGene00006376"
"2295" "syp-3" "WBGene00006377"
"2296" "sys-1" "WBGene00006379"
"2297" "tac-1" "WBGene00006381"
"2298" "taf-1" "WBGene00006382"
"2299" "taf-2" "WBGene00006383"
"2300" "taf-3" "WBGene00006384"
"2301" "taf-4" "WBGene00006385"
"2302" "taf-5" "WBGene00006386"
"2303" "taf-6.1" "WBGene00006387"
"2304" "taf-7.1" "WBGene00006388"
"2305" "taf-7.2" "WBGene00006389"
"2306" "taf-8" "WBGene00006390"
"2307" "taf-9" "WBGene00006391"
"2308" "taf-11.1" "WBGene00006393"
"2309" "taf-11.2" "WBGene00006394"
"2310" "taf-11.3" "WBGene00006395"
"2311" "taf-12" "WBGene00006396"
"2312" "taf-13" "WBGene00006397"
"2313" "fut-3" "WBGene00006402"
"2314" "tag-10" "WBGene00006404"
"2315" "itsn-1" "WBGene00006405"
"2316" "srgp-1" "WBGene00006406"
"2317" "lim-9" "WBGene00006407"
"2318" "tag-18" "WBGene00006408"
"2319" "hdl-2" "WBGene00006409"
"2320" "nck-1" "WBGene00006410"
"2321" "octr-1" "WBGene00006411"
"2322" "nlg-1" "WBGene00006412"
"2323" "raga-1" "WBGene00006414"
"2324" "sams-5" "WBGene00006416"
"2325" "asd-2" "WBGene00006423"
"2326" "tag-51" "WBGene00006430"
"2327" "tag-52" "WBGene00006431"
"2328" "tag-53" "WBGene00006432"
"2329" "sdhb-1" "WBGene00006433"
"2330" "prdx-2" "WBGene00006434"
"2331" "ttn-1" "WBGene00006436"
"2332" "mrck-1" "WBGene00006437"
"2333" "ant-1.1" "WBGene00006439"
"2334" "tag-63" "WBGene00006440"
"2335" "tag-65" "WBGene00006442"
"2336" "pak-2" "WBGene00006443"
"2337" "shn-1" "WBGene00006444"
"2338" "tag-68" "WBGene00006445"
"2339" "atx-3" "WBGene00006446"
"2340" "tag-72" "WBGene00006447"
"2341" "glod-4" "WBGene00006448"
"2342" "tag-76" "WBGene00006449"
"2343" "tag-77" "WBGene00006450"
"2344" "heh-1" "WBGene00006452"
"2345" "ppm-1" "WBGene00006460"
"2346" "tag-96" "WBGene00006461"
"2347" "tag-97" "WBGene00006462"
"2348" "nduf-2.2" "WBGene00006463"
"2349" "fntb-1" "WBGene00006465"
"2350" "tag-115" "WBGene00006466"
"2351" "magu-2" "WBGene00006467"
"2352" "rhgf-1" "WBGene00006468"
"2353" "tag-120" "WBGene00006470"
"2354" "tag-123" "WBGene00006472"
"2355" "tag-124" "WBGene00006473"
"2356" "wdr-5.1" "WBGene00006474"
"2357" "chup-1" "WBGene00006477"
"2358" "tag-131" "WBGene00006478"
"2359" "tmbi-4" "WBGene00006479"
"2360" "plrg-1" "WBGene00006481"
"2361" "dgk-4" "WBGene00006483"
"2362" "tag-141" "WBGene00006487"
"2363" "zhit-3" "WBGene00006489"
"2364" "kdin-1" "WBGene00006490"
"2365" "acl-3" "WBGene00006491"
"2366" "tag-146" "WBGene00006492"
"2367" "tag-147" "WBGene00006493"
"2368" "hke-4.2" "WBGene00006494"
"2369" "cpna-1" "WBGene00006495"
"2370" "cgef-1" "WBGene00006496"
"2371" "tag-151" "WBGene00006497"
"2372" "ten-1" "WBGene00006498"
"2373" "tag-153" "WBGene00006499"
"2374" "snx-3" "WBGene00006503"
"2375" "kcc-1" "WBGene00006504"
"2376" "tag-163" "WBGene00006508"
"2377" "tag-164" "WBGene00006509"
"2378" "mtrr-1" "WBGene00006510"
"2379" "abcf-1" "WBGene00006512"
"2380" "tag-168" "WBGene00006513"
"2381" "tdp-1" "WBGene00006514"
"2382" "tag-170" "WBGene00006515"
"2383" "vps-16" "WBGene00006516"
"2384" "tag-172" "WBGene00006517"
"2385" "tag-173" "WBGene00006518"
"2386" "tag-174" "WBGene00006519"
"2387" "tag-175" "WBGene00006520"
"2388" "tam-1" "WBGene00006523"
"2389" "tap-1" "WBGene00006524"
"2390" "tax-6" "WBGene00006527"
"2391" "tba-1" "WBGene00006528"
"2392" "tba-2" "WBGene00006529"
"2393" "tba-4" "WBGene00006530"
"2394" "tbb-1" "WBGene00006536"
"2395" "tbb-6" "WBGene00006539"
"2396" "tbg-1" "WBGene00006540"
"2397" "tbh-1" "WBGene00006541"
"2398" "tbp-1" "WBGene00006542"
"2399" "tbx-9" "WBGene00006546"
"2400" "tbx-33" "WBGene00006552"
"2401" "tbx-34" "WBGene00006553"
"2402" "tbx-36" "WBGene00006555"
"2403" "tcl-2" "WBGene00006561"
"2404" "tdc-1" "WBGene00006562"
"2405" "teg-1" "WBGene00006563"
"2406" "tfg-1" "WBGene00006565"
"2407" "tgt-1" "WBGene00006566"
"2408" "tgt-2" "WBGene00006567"
"2409" "thk-1" "WBGene00006568"
"2410" "tig-2" "WBGene00006570"
"2411" "tim-1" "WBGene00006571"
"2412" "tin-9.1" "WBGene00006572"
"2413" "tin-10" "WBGene00006573"
"2414" "tin-13" "WBGene00006574"
"2415" "tir-1" "WBGene00006575"
"2416" "tkr-1" "WBGene00006576"
"2417" "tlf-1" "WBGene00006577"
"2418" "tli-1" "WBGene00006578"
"2419" "tlk-1" "WBGene00006579"
"2420" "tmd-2" "WBGene00006582"
"2421" "tni-1" "WBGene00006584"
"2422" "tni-3" "WBGene00006585"
"2423" "tni-4" "WBGene00006586"
"2424" "tnt-2" "WBGene00006587"
"2425" "tnt-3" "WBGene00006588"
"2426" "toc-1" "WBGene00006590"
"2427" "toh-1" "WBGene00006591"
"2428" "dpy-31" "WBGene00006592"
"2429" "tol-1" "WBGene00006593"
"2430" "tom-1" "WBGene00006594"
"2431" "top-1" "WBGene00006595"
"2432" "top-3" "WBGene00006596"
"2433" "tpa-1" "WBGene00006599"
"2434" "tpi-1" "WBGene00006601"
"2435" "tps-1" "WBGene00006602"
"2436" "tps-2" "WBGene00006603"
"2437" "tra-1" "WBGene00006604"
"2438" "tra-2" "WBGene00006605"
"2439" "tra-3" "WBGene00006606"
"2440" "tre-1" "WBGene00006607"
"2441" "tre-2" "WBGene00006608"
"2442" "tre-3" "WBGene00006609"
"2443" "tre-5" "WBGene00006611"
"2444" "trm-1" "WBGene00006613"
"2445" "trp-2" "WBGene00006615"
"2446" "trp-4" "WBGene00006616"
"2447" "tars-1" "WBGene00006617"
"2448" "trt-1" "WBGene00006618"
"2449" "try-1" "WBGene00006619"
"2450" "svh-1" "WBGene00006620"
"2451" "try-5" "WBGene00006623"
"2452" "try-7" "WBGene00006625"
"2453" "tsn-1" "WBGene00006626"
"2454" "tsp-8" "WBGene00006634"
"2455" "tsp-9" "WBGene00006635"
"2456" "tsp-10" "WBGene00006636"
"2457" "tsp-12" "WBGene00006638"
"2458" "tsp-14" "WBGene00006640"
"2459" "tsp-18" "WBGene00006644"
"2460" "tsp-19" "WBGene00006645"
"2461" "tsp-20" "WBGene00006646"
"2462" "tsr-1" "WBGene00006647"
"2463" "ttb-1" "WBGene00006648"
"2464" "tth-1" "WBGene00006649"
"2465" "tts-1" "WBGene00006650"
"2466" "twk-1" "WBGene00006656"
"2467" "twk-5" "WBGene00006660"
"2468" "twk-6" "WBGene00006661"
"2469" "twk-17" "WBGene00006671"
"2470" "twk-18" "WBGene00006672"
"2471" "twk-22" "WBGene00006675"
"2472" "twk-24" "WBGene00006677"
"2473" "twk-30" "WBGene00006682"
"2474" "twk-34" "WBGene00006686"
"2475" "twk-37" "WBGene00006689"
"2476" "uaf-1" "WBGene00006697"
"2477" "uaf-2" "WBGene00006698"
"2478" "uba-1" "WBGene00006699"
"2479" "uba-2" "WBGene00006700"
"2480" "ubc-1" "WBGene00006701"
"2481" "ubc-3" "WBGene00006702"
"2482" "ubc-6" "WBGene00006703"
"2483" "ubc-7" "WBGene00006704"
"2484" "ubc-8" "WBGene00006705"
"2485" "ubc-12" "WBGene00006707"
"2486" "ubc-13" "WBGene00006708"
"2487" "ubc-14" "WBGene00006709"
"2488" "ubc-15" "WBGene00006710"
"2489" "ubc-16" "WBGene00006711"
"2490" "ubc-18" "WBGene00006713"
"2491" "ubc-19" "WBGene00006714"
"2492" "ubc-20" "WBGene00006715"
"2493" "ubc-24" "WBGene00006719"
"2494" "ubc-25" "WBGene00006720"
"2495" "ubh-1" "WBGene00006721"
"2496" "ubh-2" "WBGene00006722"
"2497" "ubh-3" "WBGene00006723"
"2498" "ubh-4" "WBGene00006724"
"2499" "ubl-1" "WBGene00006725"
"2500" "ubl-5" "WBGene00006726"
"2501" "ubq-1" "WBGene00006727"
"2502" "ubq-2" "WBGene00006728"
"2503" "ucp-4" "WBGene00006729"
"2504" "uev-1" "WBGene00006730"
"2505" "uev-3" "WBGene00006732"
"2506" "ula-1" "WBGene00006735"
"2507" "ulp-1" "WBGene00006736"
"2508" "ulp-2" "WBGene00006737"
"2509" "ulp-5" "WBGene00006740"
"2510" "unc-2" "WBGene00006742"
"2511" "unc-11" "WBGene00006751"
"2512" "unc-13" "WBGene00006752"
"2513" "unc-14" "WBGene00006753"
"2514" "unc-15" "WBGene00006754"
"2515" "unc-16" "WBGene00006755"
"2516" "unc-18" "WBGene00006757"
"2517" "unc-23" "WBGene00006760"
"2518" "unc-26" "WBGene00006763"
"2519" "unc-27" "WBGene00006764"
"2520" "unc-29" "WBGene00006765"
"2521" "unc-31" "WBGene00006767"
"2522" "unc-32" "WBGene00006768"
"2523" "unc-33" "WBGene00006769"
"2524" "unc-34" "WBGene00006770"
"2525" "tln-1" "WBGene00006771"
"2526" "unc-36" "WBGene00006772"
"2527" "unc-37" "WBGene00006773"
"2528" "unc-38" "WBGene00006774"
"2529" "unc-40" "WBGene00006776"
"2530" "unc-45" "WBGene00006781"
"2531" "unc-49" "WBGene00006784"
"2532" "unc-50" "WBGene00006785"
"2533" "unc-51" "WBGene00006786"
"2534" "unc-52" "WBGene00006787"
"2535" "unc-53" "WBGene00006788"
"2536" "unc-54" "WBGene00006789"
"2537" "unc-55" "WBGene00006790"
"2538" "unc-57" "WBGene00006791"
"2539" "unc-58" "WBGene00006792"
"2540" "unc-59" "WBGene00006793"
"2541" "unc-60" "WBGene00006794"
"2542" "unc-61" "WBGene00006795"
"2543" "unc-62" "WBGene00006796"
"2544" "unc-63" "WBGene00006797"
"2545" "unc-64" "WBGene00006798"
"2546" "unc-68" "WBGene00006801"
"2547" "unc-69" "WBGene00006802"
"2548" "unc-71" "WBGene00006804"
"2549" "unc-76" "WBGene00006808"
"2550" "unc-78" "WBGene00006810"
"2551" "unc-80" "WBGene00006812"
"2552" "unc-82" "WBGene00006814"
"2553" "unc-83" "WBGene00006815"
"2554" "unc-84" "WBGene00006816"
"2555" "unc-85" "WBGene00006817"
"2556" "unc-87" "WBGene00006819"
"2557" "unc-89" "WBGene00006820"
"2558" "unc-93" "WBGene00006822"
"2559" "unc-94" "WBGene00006823"
"2560" "unc-95" "WBGene00006824"
"2561" "unc-96" "WBGene00006825"
"2562" "unc-97" "WBGene00006826"
"2563" "unc-98" "WBGene00006827"
"2564" "unc-101" "WBGene00006829"
"2565" "unc-104" "WBGene00006831"
"2566" "unc-105" "WBGene00006832"
"2567" "unc-108" "WBGene00006833"
"2568" "unc-112" "WBGene00006836"
"2569" "unc-115" "WBGene00006839"
"2570" "unc-116" "WBGene00006840"
"2571" "unc-119" "WBGene00006843"
"2572" "unc-120" "WBGene00006844"
"2573" "unc-130" "WBGene00006853"
"2574" "usp-14" "WBGene00006856"
"2575" "cal-5" "WBGene00006861"
"2576" "pnk-4" "WBGene00006862"
"2577" "gyg-1" "WBGene00006863"
"2578" "vab-1" "WBGene00006868"
"2579" "vab-2" "WBGene00006869"
"2580" "vab-8" "WBGene00006874"
"2581" "vab-9" "WBGene00006875"
"2582" "vab-19" "WBGene00006882"
"2583" "pfd-3" "WBGene00006889"
"2584" "vem-1" "WBGene00006890"
"2585" "ver-3" "WBGene00006896"
"2586" "vha-1" "WBGene00006910"
"2587" "vha-2" "WBGene00006911"
"2588" "vha-3" "WBGene00006912"
"2589" "vha-4" "WBGene00006913"
"2590" "vha-5" "WBGene00006914"
"2591" "vha-6" "WBGene00006915"
"2592" "vha-7" "WBGene00006916"
"2593" "vha-8" "WBGene00006917"
"2594" "vha-9" "WBGene00006918"
"2595" "vha-10" "WBGene00006919"
"2596" "vha-11" "WBGene00006920"
"2597" "vha-12" "WBGene00006921"
"2598" "vhl-1" "WBGene00006922"
"2599" "vhp-1" "WBGene00006923"
"2600" "vig-1" "WBGene00006924"
"2601" "vit-1" "WBGene00006925"
"2602" "vit-2" "WBGene00006926"
"2603" "vit-3" "WBGene00006927"
"2604" "vit-4" "WBGene00006928"
"2605" "vit-5" "WBGene00006929"
"2606" "vit-6" "WBGene00006930"
"2607" "vps-26" "WBGene00006931"
"2608" "vps-34" "WBGene00006932"
"2609" "vps-35" "WBGene00006933"
"2610" "vps-54" "WBGene00006934"
"2611" "vars-1" "WBGene00006935"
"2612" "vars-2" "WBGene00006936"
"2613" "wah-1" "WBGene00006937"
"2614" "wee-1.3" "WBGene00006940"
"2615" "wnk-1" "WBGene00006941"
"2616" "wrk-1" "WBGene00006942"
"2617" "wrm-1" "WBGene00006943"
"2618" "wrn-1" "WBGene00006944"
"2619" "wars-1" "WBGene00006945"
"2620" "prx-10" "WBGene00006946"
"2621" "wrt-5" "WBGene00006951"
"2622" "wsp-1" "WBGene00006957"
"2623" "wve-1" "WBGene00006958"
"2624" "xbp-1" "WBGene00006959"
"2625" "xnp-1" "WBGene00006961"
"2626" "xpa-1" "WBGene00006963"
"2627" "yars-1" "WBGene00006968"
"2628" "zak-1" "WBGene00006971"
"2629" "zen-4" "WBGene00006974"
"2630" "zfp-1" "WBGene00006975"
"2631" "zhp-3" "WBGene00006976"
"2632" "zif-1" "WBGene00006977"
"2633" "zig-1" "WBGene00006978"
"2634" "zig-7" "WBGene00006984"
"2635" "zip-1" "WBGene00006986"
"2636" "zmp-1" "WBGene00006987"
"2637" "zyg-1" "WBGene00006988"
"2638" "zyg-8" "WBGene00006993"
"2639" "zyg-9" "WBGene00006994"
"2640" "zyg-11" "WBGene00006996"
"2641" "zyg-12" "WBGene00006997"
"2642" "zyx-1" "WBGene00006999"
"2643" "tufm-1" "WBGene00007000"
"2644" "tufm-2" "WBGene00007001"
"2645" "mak-2" "WBGene00007007"
"2646" "rfp-1" "WBGene00007008"
"2647" "wwp-1" "WBGene00007009"
"2648" "alx-1" "WBGene00007010"
"2649" "mdt-1.2" "WBGene00007011"
"2650" "mdt-4" "WBGene00007012"
"2651" "mdt-8" "WBGene00007013"
"2652" "mdt-10" "WBGene00007014"
"2653" "mdt-11" "WBGene00007015"
"2654" "mdt-15" "WBGene00007016"
"2655" "mdt-17" "WBGene00007017"
"2656" "mdt-19" "WBGene00007019"
"2657" "mdt-20" "WBGene00007020"
"2658" "immp-1" "WBGene00007021"
"2659" "mdt-22" "WBGene00007022"
"2660" "mdt-27" "WBGene00007023"
"2661" "mdt-28" "WBGene00007024"
"2662" "mdt-29" "WBGene00007025"
"2663" "trr-1" "WBGene00007028"
"2664" "mys-1" "WBGene00007029"
"2665" "epc-1" "WBGene00007030"
"2666" "pbrm-1" "WBGene00007042"
"2667" "tag-179" "WBGene00007043"
"2668" "cpna-5" "WBGene00007044"
"2669" "tag-189" "WBGene00007045"
"2670" "wts-1" "WBGene00007047"
"2671" "nfx-1" "WBGene00007048"
"2672" "tag-191" "WBGene00007049"
"2673" "tag-184" "WBGene00007050"
"2674" "chd-7" "WBGene00007053"
"2675" "scpl-1" "WBGene00007054"
"2676" "tag-196" "WBGene00007055"
"2677" "crn-7" "WBGene00007056"
"2678" "vps-52" "WBGene00007059"
"2679" "wht-6" "WBGene00007060"
"2680" "ebp-3" "WBGene00007062"
"2681" "2L52.1" "WBGene00007063"
"2682" "2RSSE.1" "WBGene00007064"
"2683" "pot-3" "WBGene00007065"
"2684" "3R5.2" "WBGene00007066"
"2685" "cTel55X.1" "WBGene00007068"
"2686" "ugt-49" "WBGene00007070"
"2687" "AC3.5" "WBGene00007071"
"2688" "AC8.2" "WBGene00007074"
"2689" "AC8.5" "WBGene00007077"
"2690" "AC8.6" "WBGene00007078"
"2691" "sfxn-1.1" "WBGene00007080"
