"V1" "V11"
"168" "brd-1" "WBGene00000265"
"169" "bre-1" "WBGene00000266"
"170" "bre-3" "WBGene00000268"
"171" "bre-4" "WBGene00000269"
"172" "bre-5" "WBGene00000270"
"173" "brf-1" "WBGene00000271"
"174" "brp-1" "WBGene00000273"
"175" "btf-1" "WBGene00000274"
"176" "bub-1" "WBGene00000275"
"177" "byn-1" "WBGene00000276"
"178" "cab-1" "WBGene00000277"
"179" "cah-1" "WBGene00000279"
"180" "cah-3" "WBGene00000281"
"181" "cah-4" "WBGene00000282"
"182" "cah-5" "WBGene00000283"
"183" "cam-1" "WBGene00000289"
"184" "cap-1" "WBGene00000292"
"185" "cap-2" "WBGene00000293"
"186" "cas-1" "WBGene00000294"
"187" "cat-4" "WBGene00000298"
"188" "cav-1" "WBGene00000301"
"189" "cav-2" "WBGene00000302"
"190" "cbp-1" "WBGene00000366"
"191" "ccb-1" "WBGene00000368"
"192" "ccf-1" "WBGene00000369"
"193" "cco-1" "WBGene00000371"
"194" "cyp-14A5" "WBGene00000373"
"195" "cyp-31A1" "WBGene00000374"
"196" "ccr-4" "WBGene00000376"
"197" "cct-1" "WBGene00000377"
"198" "cct-2" "WBGene00000378"
"199" "cct-4" "WBGene00000379"
"200" "cct-5" "WBGene00000380"
"201" "cct-6" "WBGene00000381"
"202" "cdc-6" "WBGene00000382"
"203" "cdc-14" "WBGene00000383"
"204" "cdc-25.1" "WBGene00000386"
"205" "cdc-25.2" "WBGene00000387"
"206" "cdc-25.3" "WBGene00000388"
"207" "cdc-25.4" "WBGene00000389"
"208" "cdc-42" "WBGene00000390"
"209" "cdd-1" "WBGene00000391"
"210" "cdd-2" "WBGene00000392"
"211" "cdf-1" "WBGene00000393"
"212" "cdh-3" "WBGene00000395"
"213" "cdh-4" "WBGene00000396"
"214" "cdh-5" "WBGene00000397"
"215" "casy-1" "WBGene00000403"
"216" "cdk-1" "WBGene00000405"
"217" "cdk-4" "WBGene00000406"
"218" "cdk-5" "WBGene00000407"
"219" "cdk-7" "WBGene00000408"
"220" "cdk-8" "WBGene00000409"
"221" "cdk-9" "WBGene00000410"
"222" "cdl-1" "WBGene00000411"
"223" "cdt-1" "WBGene00000413"
"224" "cec-1" "WBGene00000414"
"225" "ced-1" "WBGene00000415"
"226" "ced-2" "WBGene00000416"
"227" "ced-3" "WBGene00000417"
"228" "ced-4" "WBGene00000418"
"229" "ced-5" "WBGene00000419"
"230" "ced-6" "WBGene00000420"
"231" "ced-7" "WBGene00000421"
"232" "ced-8" "WBGene00000422"
"233" "ced-10" "WBGene00000424"
"234" "ced-12" "WBGene00000426"
"235" "ceh-18" "WBGene00000441"
"236" "ceh-20" "WBGene00000443"
"237" "ceh-21" "WBGene00000444"
"238" "ceh-32" "WBGene00000453"
"239" "ceh-38" "WBGene00000459"
"240" "ceh-39" "WBGene00000460"
"241" "ceh-40" "WBGene00000461"
"242" "ceh-41" "WBGene00000462"
"243" "ceh-43" "WBGene00000463"
"244" "ceh-44" "WBGene00000464"
"245" "cpg-1" "WBGene00000465"
"246" "cel-1" "WBGene00000466"
"247" "cep-1" "WBGene00000467"
"248" "cey-1" "WBGene00000472"
"249" "cey-2" "WBGene00000473"
"250" "cey-3" "WBGene00000474"
"251" "cey-4" "WBGene00000475"
"252" "cgh-1" "WBGene00000479"
"253" "cgp-1" "WBGene00000480"
"254" "chd-3" "WBGene00000482"
"255" "che-3" "WBGene00000485"
"256" "che-13" "WBGene00000492"
"257" "chs-2" "WBGene00000497"
"258" "chk-1" "WBGene00000498"
"259" "chk-2" "WBGene00000499"
"260" "chn-1" "WBGene00000500"
"261" "chp-1" "WBGene00000502"
"262" "cht-1" "WBGene00000503"
"263" "cic-1" "WBGene00000506"
"264" "cit-1.1" "WBGene00000507"
"265" "cit-1.2" "WBGene00000508"
"266" "cka-1" "WBGene00000509"
"267" "ckb-1" "WBGene00000511"
"268" "ckb-2" "WBGene00000512"
"269" "ckb-4" "WBGene00000514"
"270" "ckc-1" "WBGene00000515"
"271" "cki-1" "WBGene00000516"
"272" "cki-2" "WBGene00000517"
"273" "ckk-1" "WBGene00000518"
"274" "cku-70" "WBGene00000519"
"275" "cku-80" "WBGene00000520"
"276" "clc-1" "WBGene00000522"
"277" "clc-2" "WBGene00000523"
"278" "cle-1" "WBGene00000527"
"279" "clh-1" "WBGene00000528"
"280" "clh-3" "WBGene00000530"
"281" "clh-5" "WBGene00000532"
"282" "clh-6" "WBGene00000533"
"283" "cpi-2" "WBGene00000534"
"284" "cpi-1" "WBGene00000535"
"285" "clk-1" "WBGene00000536"
"286" "clk-2" "WBGene00000537"
"287" "cln-3.1" "WBGene00000539"
"288" "cln-3.2" "WBGene00000540"
"289" "cln-3.3" "WBGene00000541"
"290" "clp-1" "WBGene00000542"
"291" "clp-2" "WBGene00000543"
"292" "clp-3" "WBGene00000544"
"293" "clp-4" "WBGene00000545"
"294" "clp-6" "WBGene00000546"
"295" "clp-7" "WBGene00000547"
"296" "clr-1" "WBGene00000548"
"297" "cls-2" "WBGene00000549"
"298" "clu-1" "WBGene00000550"
"299" "cmd-1" "WBGene00000552"
"300" "cnb-1" "WBGene00000554"
"301" "cng-1" "WBGene00000562"
"302" "cnk-1" "WBGene00000564"
"303" "cnt-1" "WBGene00000565"
"304" "cnt-2" "WBGene00000566"
"305" "cnx-1" "WBGene00000567"
"306" "coh-1" "WBGene00000591"
"307" "coh-3" "WBGene00000592"
"308" "col-3" "WBGene00000594"
"309" "col-7" "WBGene00000596"
"310" "col-8" "WBGene00000597"
"311" "col-10" "WBGene00000599"
"312" "col-12" "WBGene00000601"
"313" "col-13" "WBGene00000602"
"314" "col-14" "WBGene00000603"
"315" "col-19" "WBGene00000608"
"316" "col-20" "WBGene00000609"
"317" "col-38" "WBGene00000615"
"318" "col-39" "WBGene00000616"
"319" "col-45" "WBGene00000622"
"320" "col-53" "WBGene00000630"
"321" "col-60" "WBGene00000636"
"322" "col-62" "WBGene00000638"
"323" "col-63" "WBGene00000639"
"324" "col-68" "WBGene00000644"
"325" "col-71" "WBGene00000647"
"326" "col-73" "WBGene00000649"
"327" "col-76" "WBGene00000652"
"328" "col-77" "WBGene00000653"
"329" "col-80" "WBGene00000656"
"330" "col-81" "WBGene00000657"
"331" "col-88" "WBGene00000663"
"332" "col-90" "WBGene00000665"
"333" "col-91" "WBGene00000666"
"334" "col-92" "WBGene00000667"
"335" "col-93" "WBGene00000668"
"336" "col-94" "WBGene00000669"
"337" "col-95" "WBGene00000670"
"338" "col-96" "WBGene00000671"
"339" "col-97" "WBGene00000672"
"340" "col-98" "WBGene00000673"
"341" "col-101" "WBGene00000675"
"342" "col-103" "WBGene00000677"
"343" "col-104" "WBGene00000678"
"344" "col-106" "WBGene00000680"
"345" "col-107" "WBGene00000681"
"346" "col-111" "WBGene00000685"
"347" "col-113" "WBGene00000687"
"348" "col-117" "WBGene00000691"
"349" "col-119" "WBGene00000693"
"350" "col-120" "WBGene00000694"
"351" "col-122" "WBGene00000696"
"352" "col-123" "WBGene00000697"
"353" "col-124" "WBGene00000698"
"354" "col-125" "WBGene00000699"
"355" "col-126" "WBGene00000700"
"356" "col-127" "WBGene00000701"
"357" "col-129" "WBGene00000703"
"358" "col-130" "WBGene00000704"
"359" "col-133" "WBGene00000707"
"360" "col-135" "WBGene00000708"
"361" "col-137" "WBGene00000710"
"362" "col-138" "WBGene00000711"
"363" "col-139" "WBGene00000712"
"364" "col-140" "WBGene00000713"
"365" "col-142" "WBGene00000715"
"366" "col-143" "WBGene00000716"
