ID mean fc padj line1 line2
C03A7.14 5.29101679648685 -2.56616971447987 0.00334486741914895 A1 A2
C06E4.5 6.70318460140859 -2.24254223964617 4.43296438221224e-06 A1 A2
C07G1.7 4.91688218034683 -2.9571115166144 0.00224539073387366 A1 A2
C29F9.1 11.0025920354456 0.668276947857443 0.00893565370591446 A1 A2
C39B5.3 7.46614192905184 -1.4087756905572 0.000825245569187292 A1 A2
C47B2.8 9.06655521684974 0.93257174244979 0.00182966845266008 A1 A2
D2096.1a 10.8663615163148 0.82165532279017 0.000148417791272302 A1 A2
E01G4.5 12.2150476672028 -0.892630835918588 0.000200363521767621 A1 A2
F21G4.5 7.93467031093475 -1.09980469738103 0.00334486741914895 A1 A2
F23A7.7 10.4169074223369 -0.685289307054406 0.000237054690573445 A1 A2
F31C3.11 5.50540223509466 2.74758415638672 0.000138235225899135 A1 A2
F31C3.9 11.2792672591254 1.05051943311231 3.08317220014938e-07 A1 A2
F34D6.11 6.31656772061724 -2.08165445466149 0.000570587254636821 A1 A2
F39F10.4 7.54921004524063 -1.34917203641889 0.00110446019911734 A1 A2
F52D2.12 9.60319911504342 -0.898523712863133 2.1047476460195e-05 A1 A2
F56D12.4a 9.0723561336051 -0.799643444690528 0.00324221710197815 A1 A2
K02C4.4 7.05536095535353 -1.64812728813403 0.00046315882624087 A1 A2
K05C4.11 5.68722247505046 -2.31900920852189 0.00313710969378873 A1 A2
K09E9.3 10.5684053019187 -0.672865104412276 0.000248458183146546 A1 A2
K10B4.6a 8.20265548946698 1.37498259850024 3.20260616782291e-05 A1 A2
M01E11.4c 8.60130145638986 -1.29486721670814 2.42193218087327e-06 A1 A2
R05G6.5 6.25314565362767 2.07369453179405 0.000499128388085406 A1 A2
R07H5.9 7.2462223709066 -1.50584641851734 0.000825245569187292 A1 A2
R10E11.5b.2 4.16172247541632 -3.75210939831908 0.00224539073387366 A1 A2
R186.1 7.48541286281456 -1.58952583955836 6.79523429329733e-05 A1 A2
T05B9.2 6.8916584341162 -1.51999117086831 0.00449940049974922 A1 A2
T05E11.9 8.151334682649 -1.0505659039239 0.00276270004419854 A1 A2
T08E11.10 7.71905342220624 -1.37305938680281 0.000248458183146546 A1 A2
T14G12.5 8.43724797256711 0.985408687180113 0.00797664791694451 A1 A2
T24A11.3 6.01426688119236 -2.09133490549634 0.00305345442361754 A1 A2
T24D5.11 9.52223736505599 -0.840869388258884 0.000148417791272302 A1 A2
W05F2.6a 8.4032172865134 1.08928032980582 0.00180117535133205 A1 A2
W06H8.6 9.28038554839321 -1.11488304645962 5.75553980042977e-07 A1 A2
Y116F11A.1 6.90792983012838 -1.54189333057984 0.0033096022456281 A1 A2
Y17D7C.3 12.1799239857685 -0.900337543155212 0.000148417791272302 A1 A2
Y24F12A.3 10.0676804658995 -0.872589337477883 2.60265607739725e-06 A1 A2
Y37E3.30 10.4440074592982 -0.995692865671085 7.45589422961518e-09 A1 A2
Y38H6C.4 4.16172247541632 -3.75210939831908 0.00224539073387366 A1 A2
Y40A1A.4 8.67705692108625 -1.38739024006121 1.72086837191839e-07 A1 A2
Y51A2A.16 5.76073574151645 -2.40681482141896 0.00112253590053207 A1 A2
Y67D8A.3 6.48600809445382 -1.6975139986314 0.00766173093688346 A1 A2
Y82E9BR.22 9.86729702285629 0.855360255371336 0.000310607221976959 A1 A2
ZK250.15 5.35694499667959 -3.44520648966665 2.90959981293743e-06 A1 A2
C05E11.1 9.32332260139901 1.14845146465506 8.19064097204976e-08 A1 A3
C37A5.9 9.53748510097014 1.50349308124409 9.57419493200263e-16 A1 A3
D2096.1a 10.8374224975155 0.776081976359579 3.45663402345809e-05 A1 A3
F20D1.1 6.73018836244808 2.04558183697037 1.88377621586324e-06 A1 A3
F26A3.4 8.19790846819829 -1.03039210680882 0.0040098038561574 A1 A3
F31C3.9 11.1389104921399 0.837178016348172 6.03134145810114e-06 A1 A3
F44G3.6.2 5.00826760822392 -2.53058401715365 0.0013617736390566 A1 A3
F48E3.9 6.58235043646423 2.11145487582778 2.73307313678454e-06 A1 A3
F49C5.4 7.91696080790369 -1.38926878239399 1.21544722619878e-05 A1 A3
H24K24.5a 6.98339949799136 -1.61838755634493 0.000177399443910112 A1 A3
H25P06.5 7.85849134634642 1.05955802333385 0.00635977633335491 A1 A3
K10D2.8 10.4823529432054 0.676155931832668 0.0013617736390566 A1 A3
R05G6.5 6.89237334358713 2.83065662454413 3.99353435949919e-15 A1 A3
R10F2.1 10.0525172864778 -1.78185639541351 2.75216983060304e-27 A1 A3
T20H4.2 4.61023259140613 -2.8095487931699 0.0030350627380844 A1 A3
T24A11.3 5.89841010971775 -2.8428057274366 3.3134912075029e-08 A1 A3
Y37E11AL.1 8.11098698331181 -1.3302238392084 1.21544722619878e-05 A1 A3
Y39G10AR.13b.2 6.18702703205217 -1.85325359672022 0.00127740527861918 A1 A3
Y66D12A.3 7.64583470735446 1.21042355470088 0.00162265518071999 A1 A3
ZC123.4c 7.40834607979155 1.68823992050988 1.88377621586324e-06 A1 A3
ZK686.6 11.3879728891304 0.629131233896194 0.00991014699065508 A1 A3
F17A9.4 6.07313327691631 -3.29568197174379 2.80441193338312e-09 A1 A4
F20D1.1 6.5960623109103 1.87700083014153 0.0046965005766265 A1 A4
F44G3.6.2 4.97128051632425 -2.80212143442414 0.00234022147205063 A1 A4
F49C5.4 7.87605345553003 -1.54317705721482 0.00595779677979603 A1 A4
F52E4.7 4.39228313402811 -3.55694636494799 0.000741006678523208 A1 A4
