"line_25" "epimutations_25" "line_100" "epimutations_100" "shared epimutations"
"1" "A25" "65" "A100" "67" "14"
"2" "B25" "85" "B100" "81" "25"
"3" "C25" "66" "C100" "121" "17"
"4" "D25" "76" "D100" "46" "12"
"5" "F25" "69" "F100" "52" "22"
"6" "G25" "74" "G100" "72" "22"
"7" "H25" "56" "H100" "71" "19"
"8" "I25" "50" "I100" "176" "11"
"9" "J25" "58" "J100" "67" "15"
"10" "K25" "73" "K100" "147" "25"
"11" "L25" "79" "L100" "100" "15"
