ID	up_or_down	duration	completeness	stgen	ID
Y48G9A.7	2	1	1	9	Y48G9A.7
Y48G9A.7	1	3	0	10	Y48G9A.7
Y50D7A.7	2	6	1	3	Y50D7A.7
Y50D7A.7	1	4	0	9	Y50D7A.7
Y53F4B.45	2	1	1	4	Y53F4B.45
Y53F4B.45	1	8	0	5	Y53F4B.45
Y62E10A.4a	2	1	0	12	Y62E10A.4
Y66D12A.3	2	12	0	1	Y66D12A.3
Y69A2AR.31	1	5	0	8	Y69A2AR.31
Y71A12B.15	1	3	0	10	Y71A12B.15
Y71H2AL.1	2	7	0	6	Y71H2AL.1
Y73F8A.31	1	4	0	9	Y73F8A.31
Y75B12B.4	2	1	1	4	Y75B12B.4
Y75B12B.4	1	5	1	5	Y75B12B.4
Y75B12B.4	2	3	0	10	Y75B12B.4
Y76A2B.3	2	7	0	6	Y76A2B.3
Y95B8A.1	2	4	0	9	Y95B8A.1
ZC123.4c	2	10	0	3	ZC123.4
ZC416.1	2	5	0	8	ZC416.1
ZK1010.5	2	3	1	8	ZK1010.5
ZK1010.5	1	2	0	11	ZK1010.5
ZK662.3b	2	7	1	3	ZK662.3
ZK662.3b	1	3	0	10	ZK662.3
