ID	up_or_down	duration	completeness	stgen	wilcox_sig	overall_mRNA_fc	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant	ID
B0285.7	2	1	1	10	0	-0.12988918548184	0	-0.728462094099479	167.258305170655	100.551786756941	0.486330966173879	704.003038180822	986.623004267535	0	B0285.7
B0285.7	1	1	1	11	0	-0.12988918548184	0	-0.526645034245282	100.551786756941	69.493912747117	-0.344394928909312	986.623004267535	776.889650199887	0	B0285.7
B0285.7	2	1	0	12	0	-0.12988918548184	0	0.107756425665746	69.493912747117	74.9608005292774	0.145564242776405	776.889650199887	859.472899106907	0	B0285.7
B0348.5a	1	1	1	5	1	-0.386350683030406	-1	0.0987443048763841	11.0645852655234	11.9192527500596	-0.508290069572743	569.775940260739	400.287009286846	0	B0348.5
B0348.5a	2	7	0	6	1	-0.386350683030406	-1	-0.732144958713989	11.9192527500596	6.77749608259652	0.0919193476972975	400.287009286846	426.686539054076	0	B0348.5
B0454.9	2	1	1	4	0	-0.0526893047508228	0	1.2485111129903	196.872957115113	469.138415258194	1.18295996118887	191.753848027601	436.632421574381	0	B0454.9
B0454.9	1	8	0	5	0	-0.0526893047508228	0	-0.0364743567941925	469.138415258194	457.401324283536	-1.74093245176088	436.632421574381	129.929225965238	0	B0454.9
B0507.1	2	5	1	6	1	0.68275767331263	1	0.441292538192299	52.1467307815106	71.1637088672634	2.44927823843435	2.62483284778259	18.7967638349813	0	B0507.1
B0507.1	1	2	0	11	1	0.68275767331263	1	-1.22056248692949	95.2595874539443	40.3064693933278	-3.18281887197409	20.3927983165534	1.35582835986019	0	B0507.1
C03E10.3	2	2	1	10	0	-0.194106929487712	0	-0.837556798798541	32.3112634988765	17.640664343323	1.27843584100065	87.8835133984027	214.609925140871	0	C03E10.3
C03E10.3	1	1	0	12	0	-0.194106929487712	0	0.0245372959501919	37.5267128834432	38.1875776281225	-0.751844492044984	207.441739058609	122.781842729558	0	C03E10.3
C04A2.1.1	2	2	1	6	0	0.10335722560546	0	0.432034928838668	262.22356050131	354.124170315668	0.905113950847977	23.6234956300433	45.1122332039552	0	C04A2.1
C04A2.1.1	1	5	0	8	0	0.10335722560546	0	-0.0350507821797041	354.124170315668	345.600268867955	-0.99975607871034	45.1122332039552	22.0600151065038	0	C04A2.1
C04F12.5	2	3	1	3	0	0.0537418093068815	0	0.172016747703747	434.069068966805	489.162868905648	2.42016807066345	18.3143888092775	102.377054455414	1	C04F12.5
C04F12.5	1	7	0	6	0	0.0537418093068815	0	0.260966005279528	357.577582501787	428.67662722423	-2.69520273537414	41.9973255645215	5.63902915049439	0	C04F12.5
C05E11.1	2	5	1	6	1	-0.756704066274942	-1	-0.54742390343471	522.957214408863	357.512918356966	0.907559922991112	1120.80362600317	2103.35787313441	0	C05E11.1
C05E11.1	1	2	0	11	1	-0.756704066274942	-1	0.416565176613254	370.453951209783	494.796658759473	-1.46146497766096	3007.45220887456	1091.44182968745	0	C05E11.1
C06A1.3	1	11	0	2	1	0.814579176666296	1	1.19193889172309	12.9094690269201	30.7775134475241	-1.35622304584745	313.026509882129	121.659868518772	0	C06A1.3
C09F5.1	2	3	1	5	0	-0.000369124343718497	0	-0.217187274598869	447.009244727147	384.395901189421	1.41198598374929	147.828465600295	395.03734359128	0	C09F5.1
C09F5.1	1	5	0	8	0	-0.000369124343718497	0	-0.0336060966007867	293.126705572299	286.354508490591	-0.768980005770144	421.047509903581	246.671078009088	0	C09F5.1
C16H3.3a	2	3	1	1	1	-0.429329464928125	-1	-0.300261268209697	440.785944895237	357.776713031785	0.61369077658499	298.525194485309	457.324096144866	0	C16H3.3
C16H3.3a	1	9	0	4	1	-0.429329464928125	-1	1.1002851768689	223.444767277889	480.203000523717	-0.49197698258023	453.384098302548	322.089835645676	0	C16H3.3
C18D4.6c	2	1	1	5	1	-0.948461353524851	-1	0.751875202715945	77.452096858664	131.111780250655	0.356779675748184	792.008136891646	1014.49789566797	0	C18D4.6
C18D4.6c	1	7	0	6	1	-0.948461353524851	-1	-0.00706060605115866	131.111780250655	130.466799589983	-1.05771857662657	1014.49789566797	486.836183326016	0	C18D4.6
C27D8.3b	2	1	1	3	1	-0.687962955798097	-1	-0.331575463838082	386.310858444785	306.783626424777	0.423156902564129	1874.60851169247	2513.92544829406	0	C27D8.3
C27D8.3b	1	1	1	4	1	-0.687962955798097	-1	0.709594327555861	306.783626424777	502.332171054764	-0.567018335838249	2513.92544829406	1696.60086679014	0	C27D8.3
C27D8.3b	2	8	0	5	1	-0.687962955798097	-1	-0.0573095848160978	502.332171054764	482.729736377412	0.392362445121087	1696.60086679014	2227.17067134353	0	C27D8.3
C28A5.4	1	12	0	1	0	0.133521041124061	0	-0.935886158393593	431.340531790339	224.993603040607	-0.967013471092344	154.676266572699	78.63836711673	0	C28A5.4
C28C12.1c	2	1	1	4	0	-0.0434783766872231	0	0.822561061752733	12.0780955285345	22.1291705310469	1.17772638066582	68.2513696369427	155.660437287728	0	C28C12.1
C28C12.1c	1	4	1	5	0	-0.0434783766872231	0	-0.292940416610914	22.1291705310469	17.8788791250893	-1.15075787696816	155.660437287728	69.5580704662387	0	C28C12.1
C28C12.1c	2	4	0	9	0	-0.0434783766872231	0	-0.050870593763094	11.8491520754727	11.4039753525446	0.63215906481227	58.158221644419	90.6883063792028	0	C28C12.1
C34C12.9	1	4	1	6	0	0.0147799384140654	0	-0.0364198038921657	83.4347692504169	81.3299529911582	-0.424604551007004	366.164182265672	272.553075607229	0	C34C12.9
