"ID" "up_or_down" "duration" "completeness" "stgen" "lineage"
"Y39B6A.25.3" "Y39B6A.25" 1 4 0 9 "A"
"Y48B6A.10.1" "Y48B6A.10" 1 4 0 9 "A"
"Y48G9A.7" "Y48G9A.7" 2 1 1 9 "A"
"Y73F8A.31" "Y73F8A.31" 1 4 0 9 "A"
"C05D11.13.2" "C05D11.13" 2 1 1 10 "A"
"C28A5.4" "C28A5.4" 2 1 1 10 "A"
"C47B2.8.4" "C47B2.8" 1 2 0 10 "A"
"F49C5.4.1" "F49C5.4" 2 2 1 10 "A"
"F49E8.6" "F49E8.6" 2 1 1 10 "A"
"F57A10.2.1" "F57A10.2" 2 1 1 10 "A"
"K08B4.6" "K08B4.6" 2 2 1 10 "A"
"R07E5.4.1" "R07E5.4" 2 2 1 10 "A"
"T06C12.7.1" "T06C12.7" 1 3 0 10 "A"
"T13H2.5a" "T13H2.5a" 1 3 0 10 "A"
"T24A11.3.1" "T24A11.3" 2 2 1 10 "A"
"W10D5.1" "W10D5.1" 2 3 0 10 "A"
"Y110A7A.20.1" "Y110A7A.20" 1 3 0 10 "A"
"Y37H2B.1" "Y37H2B.1" 1 3 0 10 "A"
"Y48B6A.10.2" "Y48B6A.10" 2 1 1 10 "A"
"Y48G9A.7.1" "Y48G9A.7" 1 3 0 10 "A"
"Y66D12A.3" "Y66D12A.3" 2 1 1 10 "A"
"Y75B12B.4" "Y75B12B.4" 2 3 0 10 "A"
"ZK1010.5.1" "ZK1010.5" 1 3 0 10 "A"
"B0454.9" "B0454.9" 1 2 0 11 "A"
"C04A2.1.1" "C04A2.1.1" 2 1 1 11 "A"
"C05D11.13.3" "C05D11.13" 1 2 0 11 "A"
"C16H3.3a" "C16H3.3a" 1 2 0 11 "A"
"C28C12.1c" "C28C12.1c" 1 2 0 11 "A"
"C47B2.8.5" "C47B2.8" 2 2 0 11 "A"
"F40D4.17" "F40D4.17" 2 1 1 11 "A"
"F42G8.4b.1" "F42G8.4b.1" 2 2 0 11 "A"
"F49E8.6.1" "F49E8.6" 1 2 0 11 "A"
"F57A10.2.2" "F57A10.2" 1 2 0 11 "A"
"W02D7.5.1" "W02D7.5" 1 2 0 11 "A"
"Y110A7A.20.2" "Y110A7A.20" 2 2 0 11 "A"
"Y38F2AR.10" "Y38F2AR.10" 1 2 0 11 "A"
"Y39G10AR.17.1" "Y39G10AR.17" 1 2 0 11 "A"
"Y66D12A.3.1" "Y66D12A.3" 1 2 0 11 "A"
"ZK1010.5.2" "ZK1010.5" 1 2 0 11 "A"
"C04A2.1.1.1" "C04A2.1.1" 1 1 0 12 "A"
"C06A1.3" "C06A1.3" 1 1 0 12 "A"
"C28C12.1c.1" "C28C12.1c" 2 1 0 12 "A"
"F13H8.8" "F13H8.8" 1 1 0 12 "A"
"F20D12.5" "F20D12.5" 2 1 0 12 "A"
"F40D4.17.1" "F40D4.17" 1 1 0 12 "A"
"F44G3.6.2.2" "F44G3.6.2" 1 1 0 12 "A"
"F56D12.4a.1" "F56D12.4a" 1 1 0 12 "A"
"K05C4.11.2" "K05C4.11" 1 1 0 12 "A"
"R07E5.4.2" "R07E5.4" 1 1 0 12 "A"
"T24A11.3.2" "T24A11.3" 1 1 0 12 "A"
"T25D3.3" "T25D3.3" 2 1 0 12 "A"
"Y62E10A.4a.1" "Y62E10A.4a" 2 1 0 12 "A"
"Y95B8A.1" "Y95B8A.1" 1 1 0 12 "A"
"B0454.91" "B0454.9" 1 12 0 1 "B"
"C47B2.81" "C47B2.8" 2 12 0 1 "B"
"F20D12.51" "F20D12.5" 1 12 0 1 "B"
"F29C12.1a1" "F29C12.1a" 2 9 1 1 "B"
"F49E11.21" "F49E11.2" 1 3 1 1 "B"
"W02G9.1" "W02G9.1" 1 2 1 1 "B"
"Y119D3B.81" "Y119D3B.8" 2 1 1 1 "B"
"Y40A1A.41" "Y40A1A.4" 1 12 0 1 "B"
"Y47H10A.11" "Y47H10A.1" 2 2 1 1 "B"
"ZK1098.6" "ZK1098.6" 1 12 0 1 "B"
"C03E10.31" "C03E10.3" 1 11 0 2 "B"
