ID up_or_down duration completeness stgen up_or_do
B1345 K03H6.5b 1 2 0 11 K03H6.5
B87 K08A2.4 2 5 1 3 K08A2.4
B1011 K08A2.4 1 2 1 8 K08A2.4
B116 K08A2.4 2 1 1 10 K08A2.4
B1346 K08A2.4 1 2 0 11 K08A2.4
B88 K08B4.6 2 2 1 6 K08B4.6
B1012 K08B4.6 1 2 1 8 K08B4.6
B125 K08B4.6 2 2 1 10 K08B4.6
B1347 K08B4.6 1 1 0 12 K08B4.6
B1348 K09E3.4 2 10 0 3 K09E3.4
B1349 M01D7.5 1 9 0 4 M01D7.5
B913 M142.6c 2 3 1 6 M142.6
B1350 M142.6c 1 4 0 9 M142.6
B1351 R05G6.5 2 7 0 6 R05G6.5
B312 R07H5.9 2 1 1 2 R07H5.9
B1352 R07H5.9 1 10 0 3 R07H5.9
B418 R11G10.3 1 2 1 2 R11G10.3
B521 R11G10.3 2 1 1 4 R11G10.3
B621 R11G10.3 1 1 1 5 R11G10.3
B914 R11G10.3 2 3 1 6 R11G10.3
B1013 R11G10.3 1 1 1 9 R11G10.3
B1353 R11G10.3 2 3 0 10 R11G10.3
B419 T06C12.7 2 1 1 3 T06C12.7
B522 T06C12.7 1 1 1 4 T06C12.7
B915 T06C12.7 2 4 1 5 T06C12.7
B1354 T06C12.7 1 4 0 9 T06C12.7
B314 T07F10.6 1 1 1 2 T07F10.6
B523 T07F10.6 2 2 1 3 T07F10.6
B1014 T07F10.6 1 5 1 5 T07F10.6
B126 T07F10.6 2 2 1 10 T07F10.6
B1355 T07F10.6 1 1 0 12 T07F10.6
B315 T13H2.5a 2 1 1 2 T13H2.5
B622 T13H2.5a 1 3 1 3 T13H2.5
B1015 T13H2.5a 2 4 1 6 T13H2.5
B1356 T13H2.5a 1 3 0 10 T13H2.5
B1357 T26C11.5 2 1 0 12 T26C11.5
B1358 T26C11.9 2 1 0 12 T26C11.9
B420 T26C12.4 2 1 1 3 T26C12.4
B1359 T26C12.4 1 9 0 4 T26C12.4
B421 VF11C1L.1 2 3 1 1 VF11C1L.1
B524 VF11C1L.1 1 1 1 4 VF11C1L.1
B1016 VF11C1L.1 2 5 1 5 VF11C1L.1
B1360 VF11C1L.1 1 3 0 10 VF11C1L.1
B525 W02G9.1 2 1 1 4 W02G9.1
B89 W02G9.1 1 3 1 5 W02G9.1
B1361 W02G9.1 2 5 0 8 W02G9.1
B1362 W03D2.5c 2 8 0 5 W03D2.5
B1363 W03F11.5 2 10 0 3 W03F11.5
