ID up_or_down duration completeness stgen up_or_do
A315 K09E3.4 1 2 1 1 K09E3.4
A412 K09E3.4 2 1 1 3 K09E3.4
A58 K09E3.4 1 1 1 4 K09E3.4
A611 K09E3.4 2 1 1 5 K09E3.4
A811 K09E3.4 1 2 1 6 K09E3.4
A914 K09E3.4 2 1 1 8 K09E3.4
A1013 K09E3.4 1 1 1 9 K09E3.4
A1345 K09E3.4 2 3 0 10 K09E3.4
A1111 K10B4.6a 2 1 1 10 K10B4.6
A1346 K10B4.6a 1 2 0 11 K10B4.6
A1015 M01D7.5 1 4 1 6 M01D7.5
A1212 M01D7.5 2 2 1 10 M01D7.5
A1347 M01D7.5 1 1 0 12 M01D7.5
A1112 M88.7 2 1 1 10 M88.7
A1348 M88.7 1 2 0 11 M88.7
A1349 R05G6.5 2 5 0 8 R05G6.5
A813 R07E5.4 2 2 1 6 R07E5.4
A1113 R07E5.4 1 3 1 8 R07E5.4
A1213 R07E5.4 2 1 1 11 R07E5.4
A1350 R07E5.4 1 1 0 12 R07E5.4
A27 R07H5.9 1 1 1 1 R07H5.9
A316 R07H5.9 2 1 1 2 R07H5.9
A1351 R07H5.9 1 10 0 3 R07H5.9
A1352 R11G10.3 2 5 0 8 R11G10.3
A1353 T07F10.6 2 5 0 8 T07F10.6
A59 T12B5.1 2 1 1 4 T12B5.1
A1354 T12B5.1 1 8 0 5 T12B5.1
A614 T26C11.5 2 1 1 5 T26C11.5
A1355 T26C11.5 1 7 0 6 T26C11.5
A511 T26C11.9 1 4 1 1 T26C11.9
A615 T26C11.9 2 1 1 5 T26C11.9
A915 T26C11.9 1 3 1 6 T26C11.9
A1017 T26C11.9 2 1 1 9 T26C11.9
A1356 T26C11.9 1 3 0 10 T26C11.9
A616 VF11C1L.1 2 1 1 5 VF11C1L.1
A1357 VF11C1L.1 1 7 0 6 VF11C1L.1
A1114 W02D7.5 2 2 1 9 W02D7.5
A1358 W02D7.5 1 2 0 11 W02D7.5
A513 W02G9.1 2 2 1 3 W02G9.1
A816 W02G9.1 1 3 1 5 W02G9.1
A1359 W02G9.1 2 5 0 8 W02G9.1
A1214 W03F11.5 2 4 1 8 W03F11.5
A1360 W03F11.5 1 1 0 12 W03F11.5
A28 W06H8.6 1 1 1 1 W06H8.6
A318 W06H8.6 2 1 1 2 W06H8.6
A617 W06H8.6 1 3 1 3 W06H8.6
A818 W06H8.6 2 2 1 6 W06H8.6
A1361 W06H8.6 1 5 0 8 W06H8.6
A1215 W09B6.5 2 1 1 11 W09B6.5
A1362 W09B6.5 1 1 0 12 W09B6.5
A1018 W09H1.2 1 8 1 2 W09H1.2
A1216 W09H1.2 2 2 1 10 W09H1.2
A1363 W09H1.2 1 1 0 12 W09H1.2
A1364 W10D5.1 2 3 0 10 W10D5.1
A1365 Y102A5C.6 1 12 0 1 Y102A5C.6
A1020 Y110A7A.20 2 1 1 9 Y110A7A.20
A1217 Y110A7A.20 1 2 1 10 Y110A7A.20
A1366 Y110A7A.20 2 1 0 12 Y110A7A.20
A514 Y119D3B.8 2 1 1 4 Y119D3B.8
A1021 Y119D3B.8 1 5 1 5 Y119D3B.8
A1116 Y119D3B.8 2 1 1 10 Y119D3B.8
A1367 Y119D3B.8 1 2 0 11 Y119D3B.8
A918 Y22F5A.3b 2 1 1 8 Y22F5A.3
A1368 Y22F5A.3b 1 4 0 9 Y22F5A.3
A1369 Y23H5A.8b 1 2 0 11 Y23H5A.8
A415 Y24F12A.3 1 3 1 1 Y24F12A.3
A618 Y24F12A.3 2 2 1 4 Y24F12A.3
A820 Y24F12A.3 1 2 1 6 Y24F12A.3
A919 Y24F12A.3 2 1 1 8 Y24F12A.3
A1370 Y24F12A.3 1 4 0 9 Y24F12A.3
A920 Y37E3.13a 2 1 1 8 Y37E3.13
A1022 Y37E3.13a 1 1 1 9 Y37E3.13
A1218 Y37E3.13a 2 2 1 10 Y37E3.13
A1371 Y37E3.13a 1 1 0 12 Y37E3.13
A319 Y37H2B.1 2 1 1 2 Y37H2B.1
A515 Y37H2B.1 1 2 1 3 Y37H2B.1
A619 Y37H2B.1 2 1 1 5 Y37H2B.1
A1372 Y37H2B.1 1 7 0 6 Y37H2B.1
A921 Y38F2AR.10 2 4 1 5 Y38F2AR.10
A1373 Y38F2AR.10 1 4 0 9 Y38F2AR.10
A211 Y39B6A.25 2 1 1 1 Y39B6A.25
A517 Y39B6A.25 1 3 1 2 Y39B6A.25
A620 Y39B6A.25 2 1 1 5 Y39B6A.25
A822 Y39B6A.25 1 2 1 6 Y39B6A.25
A922 Y39B6A.25 2 1 1 8 Y39B6A.25
A1374 Y39B6A.25 1 4 0 9 Y39B6A.25
A1118 Y39G10AR.17 2 3 1 8 Y39G10AR.17
A1375 Y39G10AR.17 1 2 0 11 Y39G10AR.17
A1376 Y47H10A.1 1 10 0 3 Y47H10A.1
A1377 Y48B6A.10 1 11 0 2 Y48B6A.10
A621 Y48E1B.11 2 2 1 4 Y48E1B.11
A824 Y48E1B.11 1 2 1 6 Y48E1B.11
A1219 Y48E1B.11 2 4 1 8 Y48E1B.11
A1378 Y48E1B.11 1 1 0 12 Y48E1B.11
A213 Y48G8AL.6 2 1 1 1 Y48G8AL.6
A321 Y48G8AL.6 1 1 1 2 Y48G8AL.6
A417 Y48G8AL.6 2 1 1 3 Y48G8AL.6
A923 Y48G8AL.6 1 5 1 4 Y48G8AL.6
A1023 Y48G8AL.6 2 1 1 9 Y48G8AL.6
A1119 Y48G8AL.6 1 1 1 10 Y48G8AL.6
A1379 Y48G8AL.6 2 2 0 11 Y48G8AL.6
A1024 Y48G9A.7 2 1 1 9 Y48G9A.7
A1380 Y48G9A.7 1 3 0 10 Y48G9A.7
A925 Y50D7A.7 2 6 1 3 Y50D7A.7
A1381 Y50D7A.7 1 4 0 9 Y50D7A.7
A518 Y53F4B.45 2 1 1 4 Y53F4B.45
A1382 Y53F4B.45 1 8 0 5 Y53F4B.45
A1383 Y62E10A.4a 2 1 0 12 Y62E10A.4
A519 Y66D12A.3 2 3 1 2 Y66D12A.3
A622 Y66D12A.3 1 1 1 5 Y66D12A.3
A926 Y66D12A.3 2 3 1 6 Y66D12A.3
A1025 Y66D12A.3 1 1 1 9 Y66D12A.3
A1120 Y66D12A.3 2 1 1 10 Y66D12A.3
A1221 Y66D12A.3 1 1 1 11 Y66D12A.3
A1384 Y66D12A.3 2 1 0 12 Y66D12A.3
A419 Y67D8A.3 1 3 1 1 Y67D8A.3
A623 Y67D8A.3 2 2 1 4 Y67D8A.3
A825 Y67D8A.3 1 2 1 6 Y67D8A.3
A1222 Y67D8A.3 2 4 1 8 Y67D8A.3
A1385 Y67D8A.3 1 1 0 12 Y67D8A.3
A1223 Y69A2AR.31 1 6 1 6 Y69A2AR.31
A1386 Y69A2AR.31 2 1 0 12 Y69A2AR.31
