ID	up_or_down	duration	completeness	stgen	wilcox_sig	overall_mRNA_fc	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant	ID
B0285.7	2	1	1	1	0	-0.12988918548184	0	-1.51015474161523	480.539128621738	168.055656750165	0.413416241521622	716.488473170637	954.576845131268	0	B0285.7
B0285.7	1	1	1	2	0	-0.12988918548184	0	1.43333853033946	168.055656750165	455.570238679535	-0.269280307596905	954.576845131268	791.873983931778	0	B0285.7
B0285.7	2	1	1	3	0	-0.12988918548184	0	-0.718191251210799	455.570238679535	276.530353948204	0.112400099564253	791.873983931778	856.116724461824	0	B0285.7
B0285.7	1	4	1	4	0	-0.12988918548184	0	-0.141079202746512	276.530353948204	250.675776812897	-0.236936407971168	856.116724461824	726.302371179707	0	B0285.7
B0285.7	2	1	1	8	0	-0.12988918548184	0	0.424752186611703	166.448559035123	223.773218120059	0.345490931079754	765.682870606287	973.134430766453	0	B0285.7
B0285.7	1	1	1	9	0	-0.12988918548184	0	-0.437334394670382	223.773218120059	164.994535944523	-0.621477234232954	973.134430766453	632.19227037756	0	B0285.7
B0285.7	2	3	0	10	0	-0.12988918548184	0	-0.344717611985506	164.994535944523	129.714405286623	0.537988427289521	632.19227037756	918.361384974665	0	B0285.7
B0348.5a	1	9	0	4	1	-0.386350683030406	-1	1.99057843931064	6.1794492502392	27.5308656615321	-0.659770761681445	636.364837968949	402.438472836169	0	B0348.5
B0454.9	2	6	1	4	0	-0.0526893047508228	0	-0.245556369500457	642.662722024876	541.923355653315	1.00321839634548	196.8610649832	395.605901141158	0	B0454.9
B0454.9	1	3	0	10	0	-0.0526893047508228	0	0.12668317588011	465.254862618341	508.048087372606	-0.832828641154462	378.264627151116	211.929550378769	0	B0454.9
C03E10.3	2	2	0	11	0	-0.194106929487712	0	0.310257231357332	22.8201268559799	28.5352603204319	0.30731873790918	147.376296527765	182.601694562807	0	C03E10.3
C04A2.1.1	2	1	1	3	0	0.10335722560546	0	-0.13043387669247	399.180437149169	364.587505764113	1.22992585540403	16.9930039470339	41.203478717414	0	C04A2.1
C04A2.1.1	1	7	1	4	0	0.10335722560546	0	0.0192302861151159	364.587505764113	369.493197036351	-0.320494727458983	41.203478717414	32.7963441360545	0	C04A2.1
C04A2.1.1	2	1	1	11	0	0.10335722560546	0	0.0428188034399088	309.873301518043	319.238224834832	1.51203122821084	24.3597184343413	71.3287869385963	0	C04A2.1
C04A2.1.1	1	1	0	12	0	0.10335722560546	0	-0.0743261207956074	319.238224834832	303.157673678754	-1.51866465624033	71.3287869385963	24.2433835768782	0	C04A2.1
C04F12.5	2	1	1	9	0	0.0537418093068815	0	-0.455140743663989	416.078327441985	303.23320119534	0.523701851134655	25.2762189809468	36.7757276396919	0	C04F12.5
C04F12.5	1	3	0	10	0	0.0537418093068815	0	0.313714716829686	303.23320119534	377.132622777774	-0.209597577236522	36.7757276396919	31.6676339646436	0	C04F12.5
