ID	up_or_down	duration	completeness	stgen	ID
Y38F2AR.10	2	3	1	5	Y38F2AR.10
Y38F2AR.10	1	4	1	8	Y38F2AR.10
Y38F2AR.10	2	1	0	12	Y38F2AR.10
Y40A1A.4	1	12	0	1	Y40A1A.4
Y47H10A.1	1	6	1	3	Y47H10A.1
Y47H10A.1	2	4	0	9	Y47H10A.1
Y47H10A.5	2	4	1	5	Y47H10A.5
Y47H10A.5	1	1	1	9	Y47H10A.5
Y47H10A.5	2	1	1	10	Y47H10A.5
Y47H10A.5	1	2	0	11	Y47H10A.5
Y48B6A.10	2	5	1	6	Y48B6A.10
Y48B6A.10	1	2	0	11	Y48B6A.10
Y48E1B.11	2	12	0	1	Y48E1B.11
Y48G8AL.6	2	2	1	9	Y48G8AL.6
Y48G8AL.6	1	2	0	11	Y48G8AL.6
Y48G9A.7	2	1	1	4	Y48G9A.7
Y48G9A.7	1	8	0	5	Y48G9A.7
Y53F4B.45	2	1	1	4	Y53F4B.45
Y53F4B.45	1	8	0	5	Y53F4B.45
Y54F10BM.12	2	3	1	5	Y54F10BM.12
Y54F10BM.12	1	5	0	8	Y54F10BM.12
Y62E10A.4a	2	2	1	6	Y62E10A.4
Y62E10A.4a	1	4	1	8	Y62E10A.4
Y62E10A.4a	2	1	0	12	Y62E10A.4
Y66D12A.3	1	7	0	6	Y66D12A.3
Y69A2AR.31	1	7	0	6	Y69A2AR.31
Y71A12B.15	1	5	0	8	Y71A12B.15
Y71H2AL.1	2	10	0	3	Y71H2AL.1
Y73F8A.31	1	9	0	4	Y73F8A.31
Y75B12B.4	2	3	1	6	Y75B12B.4
Y75B12B.4	1	1	1	9	Y75B12B.4
Y75B12B.4	2	2	1	10	Y75B12B.4
Y75B12B.4	1	1	0	12	Y75B12B.4
ZC123.4c	2	2	0	11	ZC123.4
ZC328.5	2	4	1	6	ZC328.5
ZC328.5	1	3	0	10	ZC328.5
ZK1010.5	2	1	1	5	ZK1010.5
ZK1010.5	1	7	0	6	ZK1010.5
ZK1098.6	1	1	1	1	ZK1098.6
ZK1098.6	2	2	1	2	ZK1098.6
ZK1098.6	1	4	1	4	ZK1098.6
ZK1098.6	2	1	1	8	ZK1098.6
ZK1098.6	1	1	1	9	ZK1098.6
ZK1098.6	2	1	1	10	ZK1098.6
ZK1098.6	1	2	0	11	ZK1098.6
ZK662.3b	2	7	1	2	ZK662.3
ZK662.3b	1	4	0	9	ZK662.3
