"ID" "up_or_down" "duration" "completeness" "stgen"
"F57A10.2.2" "F57A10.2" 1 2 0 11
"W02D7.5.1" "W02D7.5" 1 2 0 11
"Y110A7A.20.2" "Y110A7A.20" 2 2 0 11
"Y38F2AR.10" "Y38F2AR.10" 1 2 0 11
"Y39G10AR.17.1" "Y39G10AR.17" 1 2 0 11
"Y66D12A.3.1" "Y66D12A.3" 1 2 0 11
"ZK1010.5.2" "ZK1010.5" 1 2 0 11
"C04A2.1.1.1" "C04A2.1.1" 1 1 0 12
"C06A1.3" "C06A1.3" 1 1 0 12
"C28C12.1c.1" "C28C12.1c" 2 1 0 12
"F13H8.8" "F13H8.8" 1 1 0 12
"F20D12.5" "F20D12.5" 2 1 0 12
"F40D4.17.1" "F40D4.17" 1 1 0 12
"F44G3.6.2.2" "F44G3.6.2" 1 1 0 12
"F56D12.4a.1" "F56D12.4a" 1 1 0 12
"K05C4.11.2" "K05C4.11" 1 1 0 12
"R07E5.4.2" "R07E5.4" 1 1 0 12
"T24A11.3.2" "T24A11.3" 1 1 0 12
"T25D3.3" "T25D3.3" 2 1 0 12
"Y62E10A.4a.1" "Y62E10A.4a" 2 1 0 12
"Y95B8A.1" "Y95B8A.1" 1 1 0 12
"B0454.91" "B0454.9" 1 12 0 1
"C47B2.81" "C47B2.8" 2 12 0 1
"F20D12.51" "F20D12.5" 1 12 0 1
"F29C12.1a1" "F29C12.1a" 2 9 1 1
"F49E11.21" "F49E11.2" 1 3 1 1
"W02G9.1" "W02G9.1" 1 2 1 1
"Y119D3B.81" "Y119D3B.8" 2 1 1 1
"Y40A1A.41" "Y40A1A.4" 1 12 0 1
"Y47H10A.11" "Y47H10A.1" 2 2 1 1
"ZK1098.6" "ZK1098.6" 1 12 0 1
"C03E10.31" "C03E10.3" 1 11 0 2
"C05C10.4.3" "C05C10.4.3" 1 11 0 2
"C06A1.31" "C06A1.3" 1 11 0 2
"C27D8.3b" "C27D8.3b" 2 11 0 2
"C47B2.8.11" "C47B2.8" 2 11 0 2
"F31C3.91" "F31C3.9" 1 11 0 2
"R07H5.91" "R07H5.9" 2 2 1 2
"W02G9.1.1" "W02G9.1" 2 11 0 2
"ZK1098.6.1" "ZK1098.6" 2 2 1 2
"C04F12.5" "C04F12.5" 2 2 1 3
"C05D11.131" "C05D11.13" 2 1 1 3
"C06A1.3.1" "C06A1.3" 1 10 0 3
"F49E11.2.1" "F49E11.2" 2 2 1 3
"T24A11.31" "T24A11.3" 2 1 1 3
"W02G9.1.2" "W02G9.1" 2 10 0 3
"Y47H10A.1.11" "Y47H10A.1" 1 9 0 3
"B0285.7" "B0285.7" 2 2 1 4
"B0454.9.1" "B0454.9" 2 1 1 4
"B0511.111" "B0511.11" 1 9 0 4
"C06H2.4" "C06H2.4" 1 9 0 4
"C28C12.1c1" "C28C12.1c" 2 1 1 4
"F08B4.2c" "F08B4.2c" 2 6 1 4
"F08G12.41" "F08G12.4" 2 1 1 4
"F20D12.5.1" "F20D12.5" 2 1 1 4
"F49E11.2.2" "F49E11.2" 2 1 1 4
"F54D10.31" "F54D10.3" 2 1 1 4
"R07E5.41" "R07E5.4" 2 1 1 4
"T26C12.41" "T26C12.4" 1 9 0 4
"W03D2.5c" "W03D2.5c" 2 9 0 4
"W06H8.61" "W06H8.6" 1 9 0 4
"W09B6.5" "W09B6.5" 2 1 1 4
"Y24F12A.3" "Y24F12A.3" 2 1 1 4
"Y67D8A.31" "Y67D8A.3" 2 1 1 4
"ZC123.4c1" "ZC123.4c" 1 8 0 4
"ZK1098.6.2" "ZK1098.6" 1 9 0 4
"B0454.9.2" "B0454.9" 1 8 0 5
"C09F5.1" "C09F5.1" 2 3 1 5
"C28C12.1c.11" "C28C12.1c" 1 8 0 5
"F49E11.2.3" "F49E11.2" 1 8 0 5
"F54D10.3.11" "F54D10.3" 1 8 0 5
"T07F10.6" "T07F10.6" 1 8 0 5
"W06H8.6.1" "W06H8.6" 2 3 1 5
"W09B6.5.1" "W09B6.5" 1 8 0 5
"Y37E3.13a1" "Y37E3.13a" 1 8 0 5
"Y38F2AL.1" "Y38F2AL.1" 1 8 0 5
"Y53F4B.45" "Y53F4B.45" 1 8 0 5
"Y54F10BM.12" "Y54F10BM.12" 2 1 1 5
"C04F12.5.1" "C04F12.5" 1 7 0 6
"C18D4.6c" "C18D4.6c" 1 7 0 6
"F01F1.3" "F01F1.3" 1 7 0 6
"F31B9.3" "F31B9.3" 2 3 1 6
"F32B6.9" "F32B6.9" 2 3 1 6
"F44G3.6.21" "F44G3.6.2" 2 2 1 6
"F55C9.1" "F55C9.1" 2 3 1 6
"K10B4.6a1" "K10B4.6a" 2 3 1 6
"M01D7.5" "M01D7.5" 1 7 0 6
"M142.6c" "M142.6c" 2 3 1 6
"T07F10.6.1" "T07F10.6" 1 5 1 6
"Y22F5A.3b1" "Y22F5A.3b" 2 2 1 6
"Y48B6A.101" "Y48B6A.10" 2 4 1 6
"Y66D12A.31" "Y66D12A.3" 1 7 0 6
"Y75B12B.41" "Y75B12B.4" 2 2 1 6
"ZC123.4c.1" "ZC123.4c" 1 5 1 6
"ZC328.51" "ZC328.5" 2 2 1 6
"B0285.7.1" "B0285.7" 2 1 1 8
"EEED8.81" "EEED8.8" 2 1 1 8
"F13H8.81" "F13H8.8" 2 1 1 8
"T07F10.6.2" "T07F10.6" 2 5 0 8
"W02D7.51" "W02D7.5" 1 5 0 8
"Y62E10A.4a1" "Y62E10A.4a" 1 5 0 8
"Y71A12B.15" "Y71A12B.15" 1 5 0 8
"Y73F8A.311" "Y73F8A.31" 1 5 0 8
"Y75B12B.4.1" "Y75B12B.4" 1 5 0 8
"ZK1098.6.3" "ZK1098.6" 2 1 1 8
"B0454.9.3" "B0454.9" 2 1 1 9
"EEED8.8.1" "EEED8.8" 1 4 0 9
"F08B4.2c.1" "F08B4.2c" 1 4 0 9
"F31B9.3.1" "F31B9.3" 1 4 0 9
"F37D6.61" "F37D6.6" 1 4 0 9
"F47B10.1" "F47B10.1" 2 4 0 9
"F55C9.1.1" "F55C9.1" 1 4 0 9
"M142.6c.1" "M142.6c" 1 4 0 9
"Y38F2AL.1.1" "Y38F2AL.1" 2 3 1 9
"Y47H10A.1.2" "Y47H10A.1" 2 2 1 9
"Y67D8A.3.11" "Y67D8A.3" 1 4 0 9
"Y75B12B.4.2" "Y75B12B.4" 1 4 0 9
"ZK1098.6.4" "ZK1098.6" 1 4 0 9
"C03E10.3.11" "C03E10.3" 2 2 1 10
"F08G12.4.1" "F08G12.4" 1 3 0 10
"F29C12.1a.1" "F29C12.1a" 1 3 0 10
"F32A7.6" "F32A7.6" 1 1 1 10
"F42G8.4b.11" "F42G8.4b.1" 2 1 1 10
"F44G3.6.2.11" "F44G3.6.2" 1 3 0 10
"F47A4.51" "F47A4.5" 1 3 0 10
"R07H5.9.11" "R07H5.9" 2 1 1 10
"T06C12.71" "T06C12.7" 1 3 0 10
"VF11C1L.1" "VF11C1L.1" 1 3 0 10
"Y37H2B.11" "Y37H2B.1" 1 3 0 10
"Y67D8A.3.21" "Y67D8A.3" 2 2 1 10
"ZC328.5.1" "ZC328.5" 1 3 0 10
"ZK1098.6.5" "ZK1098.6" 2 1 1 10
"B0348.5a1" "B0348.5a" 1 2 0 11
"C05E11.1" "C05E11.1" 1 2 0 11
"F13H8.8.1" "F13H8.8" 2 2 0 11
"F32A7.6.1" "F32A7.6" 2 1 1 11
"F35F11.2" "F35F11.2" 1 2 0 11
"Y69A2AR.31" "Y69A2AR.31" 1 2 0 11
"ZC123.4c.2" "ZC123.4c" 2 2 0 11
"C06H2.4.1" "C06H2.4" 1 1 0 12
"F08G12.4.2" "F08G12.4" 1 1 0 12
"F32A7.6.2" "F32A7.6" 1 1 0 12
"T26C11.51" "T26C11.5" 2 1 0 12
"T26C11.91" "T26C11.9" 2 1 0 12
"Y47H10A.1.3" "Y47H10A.1" 2 1 0 12
"Y69A2AR.31.1" "Y69A2AR.31" 2 1 0 12
