"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"
"C09F5.3"	0	1	0	1	1	0	0	1	0	2	0	1
"C09F9.2"	2	4	1	3	3	2	1	3	0	1	2	0
"C09G1.1"	4	4	2	2	8	9	3	6	4	3	5	1
"C09G1.2"	1	3	4	1	0	1	0	0	0	2	0	0
"C09G1.3"	2810	4668	2661	1995	1276	3136	2202	2060	4484	5543	3214	2419
"C09G1.4"	6	8	6	1	2	2	1	1	1	1	0	0
"C09G1.5.2"	68	40	25	15	33	20	16	7	19	9	6	4
"C09G1.6"	0	0	0	0	2	0	0	0	0	1	0	0
"C09G12.1"	5	2	1	1	5	3	0	0	0	0	0	1
"C09G12.13"	0	0	0	0	3	0	0	0	0	0	0	0
"C09G12.17"	0	0	2	1	0	1	1	0	0	0	0	0
"C09G12.2"	0	1	0	0	1	0	0	1	1	0	0	0
"C09G12.4"	0	0	0	0	0	0	0	0	0	0	0	1
"C09G12.7"	61	20	12	6	62	6	8	5	13	21	6	8
"C09G12.8b"	686	304	206	130	462	147	108	98	216	265	145	121
"C09G12.9"	115	87	37	41	44	34	29	24	56	54	40	31
"C09G4.1c"	0	0	0	0	1	0	1	0	0	1	0	1
"C09G4.3"	176	83	49	39	70	61	43	44	80	80	56	66
"C09G4.4"	290	159	59	58	110	91	84	43	136	101	79	80
"C09G4.5"	1047	454	158	141	351	194	125	89	287	156	144	120
"C09G5.1"	0	0	0	1	0	0	1	0	0	1	0	0
"C09G5.2a"	107	73	64	52	49	51	30	45	62	55	45	37
"C09G5.4"	1	0	2	0	1	0	0	2	1	0	0	0
"C09G5.5"	0	0	0	0	1	0	0	0	0	0	0	1
"C09G5.6"	2	0	0	1	2	2	4	0	0	0	3	0
"C09G5.7"	62	39	32	35	44	60	24	13	40	100	66	131
"C09G9.1a"	334	209	184	116	132	137	88	61	185	195	139	99
"C09G9.2a"	29	11	2	3	22	3	3	3	9	5	9	0
"C09G9.4"	2	1	1	1	0	0	0	0	0	0	0	0
"C09G9.5c"	0	0	4	0	0	1	4	2	0	0	1	3
"C09G9.6"	276	179	117	80	93	96	49	73	156	157	105	98
"C09H10.1"	27	8	14	6	15	9	9	1	10	13	7	1
"C09H10.10"	696	416	229	167	309	241	137	104	300	216	197	163
"C09H10.2"	62	31	14	16	36	14	17	14	25	18	13	11
"C09H10.3"	146	104	39	46	71	56	42	28	81	53	56	32
"C09H10.4"	10	9	3	2	6	8	4	2	12	15	6	1
"C09H10.5b"	3	0	1	1	1	0	0	0	0	0	0	0
"C09H10.6"	252	142	99	72	152	76	37	37	114	114	73	62
"C09H10.7"	567	445	246	174	273	189	139	104	250	168	180	155
"C09H10.8"	0	1	1	1	1	0	0	0	0	0	0	1
"C09H10.9"	2	4	0	0	0	1	0	0	0	0	0	0
"C09H5.2b"	0	0	0	1	0	0	0	0	0	0	0	0
"C09H5.5"	0	0	0	0	0	1	0	0	0	0	0	0
"C09H5.7"	0	0	1	0	0	0	0	0	0	0	0	0
"C09H6.1b"	845	698	375	318	479	415	249	211	529	502	329	288
"C09H6.2c"	0	2	0	0	1	0	1	2	0	0	0	0
"C09H6.3"	189	114	49	40	99	65	26	26	71	58	51	43
"C10A4.1"	10	5	3	2	5	4	3	3	3	0	2	1
"C10A4.13"	0	0	0	0	0	0	0	0	0	1	0	0
"C10A4.4"	0	0	0	0	0	2	0	0	0	1	0	0
"C10A4.5"	2	10	1	2	4	1	3	5	7	7	7	4
"C10A4.7"	2	0	0	2	4	0	0	0	1	1	0	0
"C10B5.1"	129	60	22	14	48	30	26	24	50	49	40	30
"C10B5.3"	2	0	0	0	5	0	0	1	1	1	0	0
"C10C5.1j"	1646	1195	708	564	712	654	520	426	874	669	551	483
"C10C5.2"	1	1	3	1	0	1	0	0	0	0	0	0
"C10C5.4"	2	1	1	0	2	2	0	0	0	0	0	0
"C10C5.5"	0	0	0	0	0	0	0	1	0	0	0	0
"C10C5.6e"	2	3	0	0	0	3	2	1	4	3	2	3
"C10C6.2"	3	1	0	2	4	0	1	1	2	2	1	0
"C10C6.3b"	5	5	2	8	4	7	0	0	2	0	1	2
"C10C6.5.2"	164	68	58	43	93	55	35	32	87	97	69	51
"C10C6.6"	444	312	174	140	235	149	99	85	220	183	123	114
"C10C6.7b"	32	16	14	14	11	9	3	6	9	13	15	10
"C10C6.9"	12	6	1	4	7	3	8	5	9	5	3	6
"C10E2.1"	227	123	78	60	137	62	31	32	60	75	48	38
"C10E2.2.2"	0	2	2	2	0	2	2	1	0	1	3	1
"C10E2.3b"	115	68	26	32	35	37	29	21	51	64	40	49
"C10E2.4"	6	5	1	0	8	0	2	0	2	8	5	0
"C10E2.5"	34	18	6	5	19	10	5	7	23	24	8	7
"C10E2.6"	7	3	3	1	1	2	2	0	7	5	4	3
"C10E2.8"	0	0	0	1	0	0	0	0	1	0	1	0
"C10F3.1"	931	516	238	220	373	216	154	158	421	258	224	207
"C10F3.15"	0	0	1	0	0	1	0	0	0	2	0	0
"C10F3.3"	3	6	2	2	5	4	0	1	1	1	2	2
"C10F3.4b"	3	4	2	0	1	1	0	0	0	0	1	2
"C10F3.6"	0	0	0	0	0	0	4	0	2	0	0	0
"C10G11.10"	0	0	0	0	3	2	0	1	0	1	0	0
"C10G11.1b"	0	0	0	0	1	0	0	0	0	0	0	0
"C10G11.4"	1	0	0	0	0	0	0	0	0	0	0	0
"C10G11.5b.2"	12	3	1	3	3	1	3	1	2	4	1	1
"C10G11.6a"	75	91	54	50	23	58	35	37	57	65	54	42
"C10G11.8"	2	0	0	0	0	1	0	0	0	0	0	0
"C10G11.9"	3	0	3	0	1	0	0	0	0	0	0	0
"C10G8.4"	1	0	0	0	0	1	0	0	0	0	0	0
"C10G8.6"	0	0	0	1	0	0	0	0	1	0	1	0
"C10G8.8b.2"	1	1	0	1	0	0	3	0	0	1	0	0
"C10H11.1"	356	234	136	118	187	119	86	56	211	195	143	100
"C10H11.10"	2623	1915	866	667	996	778	653	439	1494	878	796	755
"C10H11.11"	0	1	0	0	0	0	0	0	1	0	0	0
"C10H11.4"	13	11	9	5	18	6	6	1	11	12	9	5
"C10H11.5"	2	0	0	0	0	0	0	0	0	0	0	0
"C10H11.7"	0	0	0	0	1	0	0	0	0	0	0	0
"C10H11.9"	1792	1033	514	454	756	590	382	335	817	757	528	538
"C11D2.3"	310	387	213	85	214	174	158	142	356	515	266	203
"C11D2.4"	128	106	40	38	65	66	37	29	69	65	47	37
"C11D2.7"	362	189	80	81	153	97	61	54	139	83	77	51
"C11D9.1"	7	1	2	2	3	0	7	2	4	5	5	0
"C11E4.1"	0	0	0	0	0	0	0	0	0	0	0	1
"C11E4.6"	3	0	3	0	3	4	1	1	2	1	1	1
"C11G10.1"	0	0	2	0	0	0	0	0	1	1	0	0
"C11G10.2"	0	1	0	0	0	0	0	0	0	0	0	0
"C11G6.1a"	625	456	290	217	359	254	230	191	424	323	236	134
"C11G6.2"	11	2	1	2	1	3	0	0	1	2	0	0
"C11G6.4b.2"	2	5	8	5	7	6	3	0	5	3	5	0
"C11H1.12.1"	851	187	91	69	1016	79	69	61	105	127	75	71
"C11H1.2"	4	1	0	3	6	1	0	0	0	3	2	0
"C11H1.3"	6	12	2	8	13	7	6	9	10	4	7	5
"C11H1.4a"	4	0	0	1	9	2	4	2	2	3	3	2
"C11H1.5"	2	3	0	2	4	2	2	2	1	3	1	1
"C11H1.7a"	9	4	2	4	10	5	2	4	5	9	4	2
"C11H1.8"	36	33	16	15	11	14	7	8	17	19	13	6
"C12C8.1"	8	1	2	2	5	4	1	0	1	1	0	0
"C12C8.2a"	3	1	1	5	4	7	1	1	1	0	2	1
"C12C8.3b.1"	76	34	24	11	29	8	11	2	23	10	14	10
"C12D12.2a"	0	1	0	0	1	0	0	0	0	0	0	0
"C12D12.3"	0	1	1	0	1	3	1	0	1	1	1	1
"C12D12.5"	37	28	18	7	21	17	9	17	37	45	24	16
"C12D5.2"	1	1	0	2	0	2	0	1	1	2	0	1
"C12D5.7"	4	6	2	0	0	1	0	1	3	1	3	3
"C12D5.8a"	1	4	1	1	1	1	0	1	2	4	0	1
"C12D8.10b"	26	19	9	5	8	7	2	4	10	11	7	10
"C12D8.11"	427	361	220	188	235	173	159	97	282	249	230	153
"C12D8.1c.2"	56	50	27	31	40	26	13	13	38	27	19	19
"C12D8.20"	23	14	8	6	14	16	5	1	8	5	8	6
"C12D8.21a"	1	1	0	0	0	0	0	0	0	0	0	0
"C12D8.5"	2	3	1	0	0	2	1	2	3	3	3	0
"C12D8.8"	1	0	1	0	1	1	0	0	0	1	1	0
"C13A10.2"	3	1	0	1	6	0	0	0	0	0	0	0
"C13A2.11"	0	3	1	1	0	0	0	0	1	0	0	0
"C13A2.3"	18	15	5	5	9	10	5	3	15	17	6	4
"C13A2.6"	0	0	0	0	0	0	0	0	0	1	0	0
"C13B4.1b.2"	0	0	0	1	1	0	1	1	0	0	0	0
"C13B4.2"	591	503	297	243	240	297	221	211	409	385	289	255
"C13B9.1"	72	23	15	13	48	20	9	3	11	34	13	19
"C13B9.2"	178	111	60	51	126	68	56	73	81	125	75	60
"C13B9.3"	468	430	192	208	162	201	137	116	305	264	215	164
"C13C12.2"	0	0	0	0	0	0	0	0	0	0	1	0
"C13C4.1"	1	0	0	1	2	3	1	1	0	1	0	1
"C13C4.2"	29	21	3	3	14	16	3	4	7	4	4	7
"C13C4.3"	7	1	2	1	2	1	1	0	0	0	1	1
"C13C4.4"	2	7	2	1	8	3	0	0	3	5	3	3
"C13C4.5"	0	0	0	0	4	0	0	0	1	1	0	0
"C13C4.6"	0	0	0	1	1	1	0	0	0	1	0	0
"C13C4.8"	0	0	1	0	0	0	0	0	0	1	0	0
"C13D9.1"	0	1	0	0	0	0	0	0	0	0	0	0
"C13D9.2"	0	2	0	1	1	0	0	0	1	1	0	1
"C13D9.6"	0	0	0	0	0	0	0	0	0	1	0	0
"C13D9.7"	6	3	2	4	0	5	0	5	6	4	3	2
"C13D9.8"	1	0	0	0	0	0	0	0	0	0	0	0
"C13D9.9"	0	0	0	0	0	0	0	0	1	0	0	0
"C13E3.1"	2	3	1	1	1	1	0	1	1	5	0	0
"C13F10.1b"	0	0	0	0	0	1	0	0	0	0	0	0
"C13F10.2"	68	50	23	20	29	31	34	23	63	57	49	37
"C13F10.4"	1496	1235	881	718	769	766	457	554	1442	1513	1088	748
"C13F10.5"	54	32	17	19	12	14	8	10	31	23	21	19
"C13F10.6"	359	193	114	87	176	85	66	58	132	114	76	78
"C13F10.7.2"	71	66	38	23	34	28	31	29	45	39	50	27
"C13G3.1"	1	0	0	2	2	1	1	0	0	0	0	1
"C13G3.2"	1	1	1	0	2	2	0	1	1	0	2	2
"C13G3.3c"	0	0	1	0	0	0	1	0	0	0	2	0
"C13G5.2"	447	324	190	171	245	182	125	105	181	177	123	109
"C14A11.1"	0	0	0	0	0	0	0	0	1	0	0	0
"C14A11.3b"	14	19	9	3	8	10	3	8	18	13	16	7
"C14A11.5"	5	1	0	1	0	3	0	1	2	1	1	2
"C14A11.6"	1	0	0	0	0	0	0	1	1	0	2	0
"C14A11.7"	84	85	50	21	68	43	30	18	41	25	23	22
"C14A11.9"	21	25	7	13	6	14	21	18	29	20	15	16
"C14A4.1"	287	173	100	79	97	89	100	64	142	108	116	88
"C14A4.10"	253	333	224	234	151	218	153	159	277	285	227	156
"C14A4.11.2"	274	177	110	80	131	81	57	48	108	154	101	62
"C14A4.13"	0	0	1	0	1	1	0	0	0	0	0	0
"C14A4.14"	214	155	57	52	115	61	36	34	96	48	51	43
"C14A4.15"	3	0	3	0	2	1	1	0	1	2	1	0
"C14A4.2"	190	138	95	49	80	73	55	58	115	91	73	65
"C14A4.3"	218	175	107	69	108	108	64	58	136	105	87	76
"C14A4.4a"	99	67	54	43	29	40	28	18	50	45	45	27
"C14A4.5"	973	784	645	512	524	631	404	442	864	790	572	496
"C14A4.6"	3	1	0	0	2	0	0	0	0	0	0	1
"C14A4.7a"	1	0	0	0	0	0	0	0	1	0	1	0
"C14A4.8"	0	1	1	0	0	0	0	0	0	1	0	0
"C14A6.1"	0	1	1	0	3	0	0	0	0	1	0	0
"C14A6.10"	0	0	0	0	1	0	0	0	0	0	0	0
"C14A6.14"	0	0	1	0	0	0	0	0	0	0	0	0
"C14A6.16"	84	71	48	37	58	49	32	26	53	66	37	18
"C14A6.3"	2	2	0	0	1	0	0	0	0	0	0	0
"C14A6.5"	4	1	1	0	0	1	0	1	0	3	0	0
"C14A6.6"	0	1	0	0	0	0	0	0	1	0	0	0
"C14A6.7"	4	2	0	0	0	0	0	0	0	0	0	0
"C14A6.8"	0	0	0	0	1	0	0	0	1	0	0	0
"C14B1.1.2"	481	266	141	118	210	161	115	99	208	236	164	123
"C14B1.10.1"	4	1	1	2	0	0	1	0	3	0	3	2
"C14B1.12"	255	210	110	90	136	78	60	66	141	110	75	76
"C14B1.2"	65	53	19	27	37	24	18	9	31	35	19	24
"C14B1.3"	43	20	16	14	10	29	13	11	21	27	11	15
"C14B1.4"	391	258	163	134	215	168	121	125	249	282	157	141
"C14B1.5"	182	113	55	35	92	53	49	31	101	79	71	66
"C14B1.6"	762	348	188	146	639	173	122	119	259	263	173	161
"C14B1.7a"	47	34	13	11	19	21	18	6	25	17	13	12
"C14B1.7b"	15	21	22	20	11	13	7	7	21	19	8	9
"C14B1.8"	255	186	108	86	108	99	71	45	109	81	80	76
"C14B1.9"	116	74	55	45	43	54	42	47	91	92	54	31
"C14B4.2"	49	11	12	6	18	19	15	9	27	20	20	10
"C14B9.10"	90	44	26	26	35	21	8	27	38	43	34	26
"C14B9.15"	8	1	1	1	0	1	1	0	2	2	0	0
"C14B9.2"	160	40	52	35	105	36	25	14	31	41	33	23
"C14B9.3"	18	6	11	7	5	11	3	2	2	4	1	1
"C14B9.4b"	2805	2155	1023	902	1004	1043	824	665	1754	1310	1068	951
"C14B9.6a"	4	2	1	0	0	3	1	1	0	0	1	0
"C14B9.8"	2475	1131	627	458	1096	629	374	336	856	750	593	471
"C14C10.1"	0	0	1	0	0	0	0	0	0	0	0	0
"C14C10.2a"	136	47	30	27	86	33	16	25	47	50	38	25
"C14C10.3c"	33	19	3	10	14	10	5	6	6	12	11	6
"C14C10.4"	594	395	303	201	251	237	151	136	304	198	179	168
"C14C10.5a"	1	1	0	0	3	1	1	0	0	0	1	0
"C14C10.6"	34	16	17	20	15	23	14	16	28	41	18	11
"C14C10.7"	8	7	1	5	6	4	5	4	5	13	6	5
"C14C11.1"	54	12	26	15	38	13	5	11	6	9	4	4
"C14C11.2.2"	41	34	11	9	25	17	13	12	38	17	17	7
"C14C11.3"	11	12	5	3	4	4	3	0	6	8	3	0
"C14C11.4"	3	2	0	0	0	0	3	1	3	0	2	0
"C14C11.6"	1218	1021	535	413	574	567	403	314	832	728	542	408
"C14C11.7"	191	94	71	48	125	62	42	57	85	126	91	49
"C14C11.8b"	10	8	2	6	14	3	3	2	2	3	6	5
"C14C6.1"	72	43	34	32	36	26	15	24	40	46	28	40
"C14C6.13"	5	0	0	1	0	1	0	1	0	1	0	0
"C14C6.5b.4"	2	0	0	0	0	0	0	0	0	0	1	0
"C14C6.6"	0	0	0	0	0	0	0	0	0	1	0	0
"C14E2.11"	11	2	2	1	0	1	4	1	4	4	0	0
"C14E2.12"	94	30	14	11	126	24	15	6	28	23	10	14
"C14E2.2"	160	88	80	61	113	64	52	47	101	106	67	33
"C14E2.3"	0	1	0	0	0	1	0	0	0	1	0	0
"C14E2.4"	0	0	1	0	0	0	0	0	0	0	0	0
"C14E2.5"	1	0	0	0	0	0	0	0	0	0	0	0
"C14E2.6"	33	12	10	9	19	7	6	4	6	3	3	1
"C14F11.14"	1	3	0	1	2	0	1	0	1	0	2	2
"C14F11.1b.2"	9	7	1	0	0	0	0	0	4	1	1	0
"C14F11.2"	2	2	0	0	0	0	0	0	3	2	3	1
"C14F11.3"	0	1	0	0	0	0	0	0	0	0	0	0
"C14F11.31"	0	0	0	1	0	0	0	0	0	0	0	0
"C14F11.7"	2	0	1	0	1	1	0	1	1	2	1	1
"C14F5.2"	0	0	0	0	0	0	1	0	0	0	0	0
"C14F5.3d"	10	5	5	2	4	5	2	1	22	9	4	0
"C14F5.4"	1	2	1	0	2	1	0	0	2	1	0	0
"C14F5.5"	7	9	7	2	3	3	3	0	4	6	4	3
"C14H10.1"	0	2	1	0	0	2	0	0	1	2	0	0
"C14H10.4"	2	0	0	0	0	1	1	0	0	0	0	0
"C15A11.2.2"	2	1	0	0	1	1	0	0	0	0	0	0
"C15A11.3"	2	0	2	1	7	3	2	1	1	0	1	0
"C15A11.4"	0	1	0	2	0	1	0	0	0	1	2	0
"C15A7.2"	0	0	0	0	1	0	1	0	0	0	0	0
"C15A7.4"	1	0	0	0	0	1	0	0	0	0	0	0
"C15B12.1"	3	3	4	4	3	3	0	1	6	1	3	2
"C15B12.2"	0	0	0	1	1	0	0	0	0	2	0	0
"C15B12.3"	3	5	4	2	5	1	1	3	3	5	3	2
"C15B12.5b"	1	1	0	2	0	0	0	0	0	2	0	0
"C15B12.6a"	2	1	1	0	4	0	0	0	1	1	0	0
"C15B12.7c"	5	4	2	2	5	2	6	4	4	2	1	2
"C15B12.8"	1	2	0	0	2	0	1	0	1	1	0	0
"C15C6.1"	2420	928	588	548	1537	630	395	401	750	891	632	580
"C15C6.2b"	2	3	2	0	5	1	1	1	5	4	2	0
"C15C6.3"	515	390	237	178	210	219	113	117	293	202	215	181
"C15C6.4"	357	299	162	141	283	198	102	171	287	400	232	159
"C15C7.1"	32	19	7	7	15	7	7	6	9	10	1	9
"C15C7.2"	769	420	314	239	381	341	279	183	335	191	170	101
"C15C7.5"	91	78	39	45	74	57	33	28	65	97	35	30
"C15C7.6"	0	0	0	0	0	0	1	0	0	0	0	0
"C15C7.7"	10	3	5	7	10	12	8	5	8	19	9	5
"C15C8.2b"	2	0	1	2	6	1	0	0	0	0	0	0
"C15C8.3b.2"	7	1	0	1	1	4	1	0	0	0	0	0
"C15C8.4"	159	113	81	48	88	72	53	67	108	109	71	62
"C15C8.5"	2	2	1	0	0	2	0	0	0	0	0	0
"C15C8.7"	150	190	117	101	94	142	98	106	205	235	145	140
"C15F1.1"	1	0	3	0	1	2	1	0	0	0	0	0
"C15F1.2"	96	39	35	29	65	34	17	9	29	27	21	17
"C15F1.3c"	897	559	359	286	500	376	317	321	595	821	519	351
"C15F1.4"	285	211	111	82	142	106	76	59	164	153	87	104
"C15F1.6"	164	93	83	58	86	74	47	34	85	119	66	56
"C15F1.8"	106	102	62	42	92	56	41	28	78	67	43	27
"C15H11.1"	2	0	2	0	3	0	1	0	0	0	0	0
"C15H11.10"	2	0	1	0	5	3	0	0	1	0	1	0
"C15H11.11a"	1	0	0	0	0	0	0	0	0	0	0	0
"C15H11.12"	0	0	0	0	0	0	0	1	0	1	0	0
"C15H11.5.1"	4	1	1	2	5	0	0	1	1	1	1	1
"C15H11.7"	202	162	99	85	140	108	55	57	127	114	76	73
"C15H11.8.2"	232	143	85	62	79	73	85	39	148	78	75	84
"C15H11.9"	561	376	199	137	269	162	129	103	318	200	163	132
"C15H7.3"	2	0	0	1	0	0	0	0	0	1	0	0
"C15H7.4"	0	0	0	0	1	0	0	0	0	0	0	3
"C15H9.1"	0	0	0	0	1	0	0	1	0	0	0	0
"C15H9.4"	40	40	21	16	24	21	8	11	30	27	17	12
"C15H9.5.2"	11	12	3	8	11	5	7	3	4	12	2	4
"C15H9.6a.5"	6	6	7	6	7	8	4	1	5	6	3	1
"C15H9.7"	0	1	0	2	0	0	0	0	0	0	1	0
"C15H9.8a"	3	8	7	5	1	6	6	3	10	12	9	5
"C16A11.10"	507	464	348	286	160	269	178	156	333	288	214	203
"C16A11.1b"	2	1	2	0	0	2	0	0	0	5	1	0
"C16A11.2b"	295	243	134	100	137	140	108	77	177	161	122	95
"C16A11.3a"	6	2	2	2	4	1	1	0	2	0	2	1
"C16A11.3b"	345	154	127	91	191	90	63	68	132	105	92	101
"C16A11.4a"	281	46	24	10	136	15	17	4	34	26	20	26
"C16A11.5"	153	104	53	40	72	57	33	35	69	65	46	37
"C16A11.6"	317	160	88	60	188	106	79	72	175	212	138	140
"C16A11.8"	0	0	0	0	1	0	0	0	0	1	0	0
"C16A11.9"	4118	2555	1435	1245	2283	1531	1192	1403	2980	3491	2225	1743
"C16A3.10c.3"	0	1	0	0	0	0	0	0	1	2	0	0
"C16A3.11"	1	1	2	0	0	1	0	2	1	2	1	1
"C16A3.1c"	4	4	1	0	4	0	1	1	1	2	0	0
"C16A3.2"	169	173	86	89	149	86	66	85	155	203	107	108
"C16A3.3"	1253	963	546	428	527	483	327	278	811	617	454	420
"C16A3.4"	586	400	249	176	386	198	149	143	297	301	226	185
"C16A3.5.2"	137	48	43	27	73	37	17	20	74	46	32	31
"C16A3.6"	457	369	185	145	212	168	134	86	254	192	153	157
"C16A3.7"	1436	812	540	368	742	430	279	248	663	494	423	363
"C16A3.8.2"	435	281	194	124	257	155	121	126	250	217	149	142
"C16A3.9"	161	111	59	25	109	31	35	29	73	64	67	38
"C16B8.1.2"	2	1	1	0	0	2	5	2	0	4	2	2
"C16B8.2"	0	0	1	2	1	1	0	0	2	0	1	0
"C16B8.3"	4	2	2	1	0	0	0	0	0	0	1	0
"C16B8.4"	2	1	2	1	1	0	0	0	0	2	0	2
"C16B8.8"	1	0	0	0	0	0	0	0	0	0	1	0
"C16C10.1"	506	465	256	198	227	263	166	170	406	337	274	241
"C16C10.10"	451	397	204	209	208	270	149	161	320	382	226	210
"C16C10.11.1"	26	7	4	4	13	6	4	3	8	10	10	6
"C16C10.12"	36	7	7	8	10	11	4	1	0	1	1	2
"C16C10.2"	126	83	71	53	82	70	40	60	93	97	69	57
"C16C10.3"	5275	4445	2698	2082	3286	2697	1811	2260	4065	5077	3163	2565
"C16C10.4.3"	296	220	109	105	129	125	88	99	185	173	126	103
"C16C10.5"	458	228	122	120	320	133	104	93	180	249	158	111
"C16C10.6"	221	129	71	48	97	64	51	42	99	76	60	54
"C16C10.7"	26	17	9	4	8	5	2	7	12	9	7	6
"C16C10.8"	290	178	99	77	137	76	63	61	132	98	69	82
"C16C10.9"	4	0	0	1	0	0	1	0	0	1	0	0
"C16C2.1"	6	0	0	0	2	0	0	1	1	3	0	0
"C16C2.3a"	150	115	50	43	47	47	33	20	71	54	53	37
"C16C2.4"	168	121	71	54	101	51	31	35	78	94	65	52
"C16C2.7"	0	0	0	0	0	0	0	0	0	0	1	0
"C16C4.10"	2	0	0	0	0	0	0	0	0	0	0	0
"C16C4.11"	1	0	1	1	1	0	0	1	2	1	0	0
"C16C4.12"	34	15	7	12	14	12	7	4	21	22	4	11
"C16C4.13"	3	0	1	1	0	1	0	0	0	1	3	0
"C16C4.14"	21	12	0	11	11	10	4	4	11	5	4	4
"C16C4.15"	0	0	0	0	4	0	0	0	1	0	0	1
"C16C4.16"	0	4	0	0	2	0	0	0	1	1	0	0
"C16C4.17b"	9	1	1	0	2	1	0	2	1	2	3	3
"C16C4.18"	44	24	34	14	31	17	6	5	16	10	14	7
"C16C4.2"	6	3	1	1	7	1	2	0	3	5	0	1
"C16C4.3"	7	5	1	0	6	4	1	0	2	5	2	1
"C16C4.4b"	1	0	0	2	0	1	1	1	1	1	0	1
"C16C4.5"	13	7	3	4	5	3	4	2	5	4	2	0
"C16C4.6"	139	73	54	35	72	39	27	17	53	57	43	30
"C16C4.9b"	0	1	3	1	0	1	5	0	2	1	1	1
"C16C8.11"	260	220	147	112	210	125	92	110	206	307	158	138
"C16C8.12"	33	22	4	5	16	16	4	6	11	26	9	9
"C16C8.13"	39	17	7	8	21	7	8	8	10	19	6	4
"C16C8.14"	33	15	7	5	22	6	5	2	11	9	2	5
"C16C8.16"	48	31	10	8	21	16	8	8	37	27	17	10
"C16C8.17"	11	3	3	5	6	6	6	4	6	4	3	5
"C16C8.18"	0	0	0	0	0	1	1	0	0	0	0	0
"C16C8.19"	0	0	0	0	0	0	0	0	1	0	0	0
"C16C8.2"	136	72	41	45	39	68	19	11	12	23	9	11
"C16C8.20"	67	47	14	12	20	16	7	12	43	73	27	27
"C16C8.21"	1430	998	307	356	668	494	332	359	863	1322	719	428
"C16C8.22"	9	3	1	1	4	4	1	0	1	1	3	2
"C16C8.4"	94	52	24	38	59	40	23	25	52	41	33	30
"C16C8.5"	118	87	54	35	58	38	33	24	67	63	54	43
"C16C8.6"	2	5	6	7	0	4	3	4	13	13	3	3
"C16C8.7"	0	0	0	0	1	0	0	0	0	0	0	0
"C16D2.1b"	2	0	0	0	0	0	0	0	0	0	1	0
"C16D6.2d"	10	6	1	4	2	0	3	2	1	6	2	3
"C16D9.10"	3	2	0	0	0	0	0	0	0	0	0	1
"C16D9.11"	6	9	5	4	3	7	7	5	2	11	6	2
"C16D9.14"	1	0	0	0	0	0	0	0	0	0	0	0
"C16D9.2"	33	24	8	14	12	11	5	5	8	7	3	5
"C16D9.4"	0	1	0	0	0	0	0	0	0	0	0	0
"C16D9.5"	0	0	1	1	0	0	1	0	0	0	0	1
"C16D9.6"	2	2	2	2	3	1	1	0	1	0	0	0
"C16E9.1"	0	2	0	0	1	0	0	0	1	1	0	1
"C16E9.2a"	10	6	3	1	2	2	2	2	4	1	4	3
"C16H3.1"	1	0	0	0	0	0	0	1	0	0	0	0
"C16H3.2"	0	3	2	0	0	2	0	0	3	0	0	0
"C16H3.3a"	579	599	339	279	329	203	169	108	219	163	88	77
"C17A2.8"	0	0	0	0	0	0	0	0	0	1	0	0
"C17B7.10"	2	0	0	0	0	0	0	0	0	0	0	0
"C17B7.11"	104	103	48	49	49	71	52	56	120	56	46	35
"C17B7.13"	1	1	1	0	0	0	1	1	1	1	1	0
"C17B7.15"	0	0	0	0	0	0	0	0	0	1	0	0
"C17B7.2"	0	0	0	0	0	0	0	0	0	1	0	0
"C17B7.3a"	0	1	0	0	0	0	0	0	0	0	0	0
"C17B7.5"	0	2	2	0	0	0	0	0	0	0	0	0
"C17B7.7"	3	2	4	2	1	0	0	0	0	0	1	0
"C17B7.8b"	0	0	0	0	0	0	0	0	0	0	0	1
"C17C3.11.2"	0	0	0	0	1	0	0	0	1	0	0	0
"C17C3.12c.2"	25	13	4	6	5	11	3	1	9	6	4	6
"C17C3.15"	49	72	34	38	34	54	67	54	89	150	68	45
"C17C3.16"	0	0	0	0	0	0	0	0	0	0	0	1
"C17C3.18"	0	0	0	0	1	0	0	0	0	0	0	0
"C17C3.1d"	138	110	53	27	81	53	42	49	104	143	76	66
"C17C3.2"	12	7	3	2	2	4	3	3	9	5	5	3
"C17C3.5"	3	7	2	1	0	3	4	5	3	5	0	3
"C17C3.6"	0	1	0	0	1	1	0	2	0	0	2	0
"C17D12.1a"	184	78	57	64	86	68	33	40	71	56	46	41
"C17D12.2d"	0	1	1	0	0	0	0	0	0	0	0	0
"C17D12.5"	9	5	1	2	3	0	1	1	1	2	0	1
"C17D12.6a"	3	3	1	0	2	0	1	0	1	0	0	1
"C17D12.7"	270	251	149	114	164	142	104	116	196	227	160	118
"C17E4.10a.2"	31	10	13	13	20	12	6	7	7	7	12	2
"C17E4.11"	72	91	43	43	33	63	33	13	73	48	54	19
"C17E4.12"	0	0	1	0	0	0	0	0	0	0	0	0
"C17E4.19"	0	1	1	0	0	0	0	0	0	0	1	0
"C17E4.2"	8	7	5	0	3	4	3	2	7	6	6	4
"C17E4.20"	28	24	7	7	10	13	1	5	15	7	9	16
"C17E4.3"	835	558	404	299	342	331	266	205	522	523	416	302
"C17E4.4"	106	82	44	26	46	50	31	51	67	54	48	65
"C17E4.5"	493	551	314	276	214	339	246	206	453	369	268	262
