ID up_or_down duration completeness stgen
A1356 M01D7.5 1 1 0 12
A1019 M01E5.1 2 8 1 2
A1357 M01E5.1 1 3 0 10
A1358 M88.6a 1 12 0 1
A1359 R05G6.5 2 5 0 8
A822 R07E5.4 2 2 1 6
A1115 R07E5.4 1 3 1 8
A1217 R07E5.4 2 1 1 11
A1360 R07E5.4 1 1 0 12
A212 R07H5.9 1 1 1 1
A315 R07H5.9 2 1 1 2
A1361 R07H5.9 1 10 0 3
A615 R08E3.3b 1 5 1 1
A823 R08E3.3b 2 2 1 6
A1362 R08E3.3b 1 5 0 8
A1363 R11G10.3 2 5 0 8
A1364 T07F10.6 2 5 0 8
A616 T26C11.5 2 1 1 5
A1365 T26C11.5 1 7 0 6
A514 T26C11.9 1 4 1 1
A617 T26C11.9 2 1 1 5
A916 T26C11.9 1 3 1 6
A1020 T26C11.9 2 1 1 9
A1366 T26C11.9 1 3 0 10
A213 VF11C1L.1 1 1 1 1
A316 VF11C1L.1 2 1 1 2
A515 VF11C1L.1 1 2 1 3
A1021 VF11C1L.1 2 5 1 5
A1367 VF11C1L.1 1 3 0 10
A1368 W02C12.3h.1 2 1 0 12
A1369 W02D3.1 2 1 0 12
A1116 W02D7.5 2 2 1 9
A1370 W02D7.5 1 2 0 11
A1220 W03F11.5 2 4 1 8
A1371 W03F11.5 1 1 0 12
A1372 W05F2.6a 2 5 0 8
A214 W06H8.6 1 1 1 1
A317 W06H8.6 2 1 1 2
A618 W06H8.6 1 3 1 3
A828 W06H8.6 2 2 1 6
A1373 W06H8.6 1 5 0 8
A1221 W09B6.5 2 1 1 11
A1374 W09B6.5 1 1 0 12
A918 W09H1.2 1 7 1 2
A1222 W09H1.2 2 3 1 9
A1375 W09H1.2 1 1 0 12
A1376 W10D5.1 2 3 0 10
A829 Y102A5C.3 2 2 1 6
A1377 Y102A5C.3 1 5 0 8
A1378 Y102A5C.6 1 12 0 1
A216 Y102A5D.5 2 1 1 1
A318 Y102A5D.5 1 1 1 2
A1379 Y102A5D.5 2 10 0 3
A417 Y108G3AL.7f 2 2 1 2
A1023 Y108G3AL.7f 1 6 1 4
A1118 Y108G3AL.7f 2 1 1 10
A1380 Y108G3AL.7f 1 2 0 11
A1024 Y110A7A.20 2 1 1 9
A1223 Y110A7A.20 1 2 1 10
A1381 Y110A7A.20 2 1 0 12
A516 Y116A8C.25f.2 2 2 1 3
A1382 Y116A8C.25f.2 1 8 0 5
A517 Y119D3B.8 2 1 1 4
A1025 Y119D3B.8 1 5 1 5
A1119 Y119D3B.8 2 1 1 10
A1383 Y119D3B.8 1 2 0 11
A518 Y19D10A.11a 2 1 1 4
A620 Y19D10A.11a 1 1 1 5
A920 Y19D10A.11a 2 3 1 6
A1026 Y19D10A.11a 1 1 1 9
A1120 Y19D10A.11a 2 1 1 10
A1384 Y19D10A.11a 1 2 0 11
A921 Y22F5A.3b 2 1 1 8
A1385 Y22F5A.3b 1 4 0 9
A922 Y2H9A.3 2 1 1 8
A1027 Y2H9A.3 1 1 1 9
A1386 Y2H9A.3 2 3 0 10
A420 Y37A1B.17c 1 2 1 2
A1387 Y37A1B.17c 2 9 0 4
A1388 Y38C1AA.4a 1 12 0 1
A923 Y38F2AR.10 2 4 1 5
A1389 Y38F2AR.10 1 4 0 9
A219 Y39B6A.25 2 1 1 1
A520 Y39B6A.25 1 3 1 2
A621 Y39B6A.25 2 1 1 5
A832 Y39B6A.25 1 2 1 6
A924 Y39B6A.25 2 1 1 8
A1390 Y39B6A.25 1 4 0 9
A421 Y39B6A.47a 2 2 1 2
A1391 Y39B6A.47a 1 9 0 4
A1121 Y39G10AR.17 2 3 1 8
A1392 Y39G10AR.17 1 2 0 11
A1393 Y41C4A.12a 2 5 0 8
A1394 Y45F10A.3b 2 7 0 6
A1395 Y47H10A.1 1 10 0 3
A623 Y48E1B.11 2 2 1 4
A835 Y48E1B.11 1 2 1 6
A1224 Y48E1B.11 2 4 1 8
A1396 Y48E1B.11 1 1 0 12
A1028 Y48G9A.7 2 1 1 9
A1397 Y48G9A.7 1 3 0 10
A926 Y50D7A.7 2 6 1 3
A1398 Y50D7A.7 1 4 0 9
A1399 Y53F4B.16 2 5 0 8
A521 Y53F4B.45 2 1 1 4
A13100 Y53F4B.45 1 8 0 5
A1122 Y55F3AM.10 2 1 1 10
A13101 Y55F3AM.10 1 2 0 11
A522 Y55F3BR.2c 1 1 1 4
A927 Y55F3BR.2c 2 4 1 5
A1030 Y55F3BR.2c 1 1 1 9
A1123 Y55F3BR.2c 2 1 1 10
A13102 Y55F3BR.2c 1 2 0 11
A13103 Y62E10A.4a 2 1 0 12
A523 Y66D12A.3 2 3 1 2
A624 Y66D12A.3 1 1 1 5
A928 Y66D12A.3 2 3 1 6
A1031 Y66D12A.3 1 1 1 9
A1124 Y66D12A.3 2 1 1 10
A1226 Y66D12A.3 1 1 1 11
A13104 Y66D12A.3 2 1 0 12
A425 Y67D8A.3 1 3 1 1
A625 Y67D8A.3 2 2 1 4
A837 Y67D8A.3 1 2 1 6
A1227 Y67D8A.3 2 4 1 8
A13105 Y67D8A.3 1 1 0 12
A13106 Y69A2AR.31 1 8 0 5
A13107 Y71F9B.13a 2 11 0 2
A13108 Y71F9B.15 2 11 0 2
A1228 Y71H2AL.1 2 4 1 8
A13109 Y71H2AL.1 1 1 0 12
A13110 Y75B12B.4 2 3 0 10
A1125 Y76A2B.3 2 1 1 10
A13111 Y76A2B.3 1 2 0 11
A1126 ZC123.4c 2 3 1 8
A13112 ZC123.4c 1 2 0 11
A13113 ZC317.6 2 5 0 8
A1127 ZC334.14 2 5 1 6
A13114 ZC334.14 1 2 0 11
A929 ZC416.1 2 1 1 8
A1034 ZC416.1 1 1 1 9
A13115 ZC416.1 2 3 0 10
A13116 ZK218.17 1 12 0 1
A930 ZK218.21 1 8 1 1
A1035 ZK218.21 2 1 1 9
A13117 ZK218.21 1 3 0 10
A931 ZK662.3b 2 6 1 3
A13118 ZK662.3b 1 4 0 9
