ID up_or_down duration completeness stgen
B918 K10G6.3r 2 1 1 8
B1357 K10G6.3r 1 4 0 9
B524 M01D7.5 1 1 1 4
B623 M01D7.5 2 1 1 5
B1358 M01D7.5 1 7 0 6
B525 M01E5.1 2 1 1 4
B1359 M01E5.1 1 8 0 5
B919 M142.6c 2 3 1 6
B1360 M142.6c 1 4 0 9
B1361 R05G6.5 2 7 0 6
B313 R07H5.9 2 1 1 2
B1362 R07H5.9 1 10 0 3
B417 R08E3.3b 1 1 1 3
B1017 R08E3.3b 2 6 1 4
B1363 R08E3.3b 1 3 0 10
B418 R11G10.3 1 2 1 2
B526 R11G10.3 2 1 1 4
B626 R11G10.3 1 1 1 5
B920 R11G10.3 2 3 1 6
B1018 R11G10.3 1 1 1 9
B1364 R11G10.3 2 3 0 10
B419 T06C12.7 2 1 1 3
B527 T06C12.7 1 1 1 4
B921 T06C12.7 2 4 1 5
B1365 T06C12.7 1 4 0 9
B316 T07F10.6 1 1 1 2
B528 T07F10.6 2 2 1 3
B1019 T07F10.6 1 5 1 5
B1213 T07F10.6 2 2 1 10
B1366 T07F10.6 1 1 0 12
B317 T13H2.5a 2 1 1 2
B627 T13H2.5a 1 3 1 3
B1020 T13H2.5a 2 4 1 6
B1367 T13H2.5a 1 3 0 10
B1368 T26C11.5 2 1 0 12
B1369 T26C11.9 2 1 0 12
B420 T26C12.4 2 1 1 3
B1370 T26C12.4 1 9 0 4
B922 T28C6.8 2 1 1 8
B1371 T28C6.8 1 4 0 9
B529 VF11C1L.1 1 1 1 4
B1021 VF11C1L.1 2 5 1 5
B1372 VF11C1L.1 1 3 0 10
B319 W02C12.3h.1 2 2 1 1
B628 W02C12.3h.1 1 3 1 3
B816 W02C12.3h.1 2 2 1 6
B1373 W02C12.3h.1 1 5 0 8
B530 W02D3.1 2 4 1 1
B629 W02D3.1 1 1 1 5
B817 W02D3.1 2 2 1 6
B1374 W02D3.1 1 5 0 8
B1375 W02G9.1 2 10 0 3
B1376 W03F11.5 2 10 0 3
B1377 W05F2.6a 2 7 0 6
B531 W06H8.6 1 1 1 4
B923 W06H8.6 2 4 1 5
B1378 W06H8.6 1 4 0 9
B532 W09B6.5 2 1 1 4
B818 W09B6.5 1 3 1 5
B1022 W09B6.5 2 2 1 8
B1379 W09B6.5 1 3 0 10
B1111 W09H1.2 2 1 1 10
B1380 W09H1.2 1 2 0 11
B533 W10D5.1 2 1 1 4
B819 W10D5.1 1 3 1 5
B924 W10D5.1 2 1 1 8
B1216 W10D5.1 1 3 1 9
B1381 W10D5.1 2 1 0 12
B425 Y102A5C.3 2 1 1 3
B534 Y102A5C.3 1 1 1 4
B631 Y102A5C.3 2 1 1 5
B1024 Y102A5C.3 1 4 1 6
B1217 Y102A5C.3 2 2 1 10
B1382 Y102A5C.3 1 1 0 12
B1383 Y102A5C.6 2 4 0 9
B1384 Y108G3AL.7f 2 2 0 11
B535 Y110A7A.20 2 1 1 4
B1385 Y110A7A.20 1 8 0 5
B1113 Y20F4.4a 2 1 1 10
B1386 Y20F4.4a 1 2 0 11
B1114 Y22F5A.3b 2 5 1 6
B1387 Y22F5A.3b 1 2 0 11
B427 Y2H9A.3 1 3 1 1
B536 Y2H9A.3 2 1 1 4
B820 Y2H9A.3 1 3 1 5
B926 Y2H9A.3 2 1 1 8
B1026 Y2H9A.3 1 1 1 9
B1115 Y2H9A.3 2 1 1 10
B1388 Y2H9A.3 1 2 0 11
B633 Y38F2AR.10 2 1 1 5
B1389 Y38F2AR.10 1 7 0 6
B217 Y39B6A.25 2 1 1 1
B323 Y39B6A.25 1 1 1 2
B821 Y39B6A.25 2 5 1 3
B1390 Y39B6A.25 1 5 0 8
B1391 Y40A1A.4 1 12 0 1
B1392 Y41C4A.12a 2 10 0 3
B218 Y45F10A.3b 1 1 1 1
B1393 Y45F10A.3b 2 11 0 2
B1394 Y46G5A.19b.2 2 1 0 12
B1395 Y47H10A.1 2 1 0 12
B927 Y48B6A.10 2 3 1 6
B1396 Y48B6A.10 1 4 0 9
B325 Y48E1B.11 2 2 1 1
B538 Y48E1B.11 1 2 1 3
B635 Y48E1B.11 2 1 1 5
B822 Y48E1B.11 1 2 1 6
B1397 Y48E1B.11 2 5 0 8
B428 Y53F4B.16 1 2 1 2
B539 Y53F4B.16 2 1 1 4
B823 Y53F4B.16 1 3 1 5
B1398 Y53F4B.16 2 5 0 8
B636 Y54F10BM.12 2 1 1 5
B1399 Y54F10BM.12 1 7 0 6
B824 Y55F3AM.10 1 2 1 6
B928 Y55F3AM.10 2 1 1 8
B1027 Y55F3AM.10 1 1 1 9
B1116 Y55F3AM.10 2 1 1 10
B13100 Y55F3AM.10 1 2 0 11
B638 Y55F3BR.2c 2 3 1 3
B825 Y55F3BR.2c 1 2 1 6
B929 Y55F3BR.2c 2 1 1 8
B1028 Y55F3BR.2c 1 1 1 9
B1117 Y55F3BR.2c 2 1 1 10
B13101 Y55F3BR.2c 1 2 0 11
B13102 Y66D12A.3 1 8 0 5
B639 Y71H2AL.1 2 3 1 3
B826 Y71H2AL.1 1 2 1 6
