ID	up_or_down	duration	completeness	stgen	wilcox_sig	wilcox_dir	mRNA_fold_change	mRNA_before	mRNA_after	22G_fold_change	22G_before	22G_after	MAplot_significant	ID
B0250.7b	2	1	1	8	1	-1	-0.214458905945913	139.858261325037	120.401418121679	-0.851262128989883	165.461110402633	91.2693268712042	0	B0250.7
B0250.7b	1	4	0	9	1	-1	-0.170166912594502	120.401418121679	106.894278430643	0.477118473161775	91.2693268712042	127.435276269195	0	B0250.7
B0285.7	2	1	1	1	0	0	-1.51015474161523	480.539128621738	168.055656750165	0.419981089569957	711.080907916505	951.700180137876	0	B0285.7
B0285.7	1	1	1	2	0	0	1.43333853033946	168.055656750165	455.570238679535	-0.270864388150398	951.700180137876	788.619639739479	0	B0285.7
B0285.7	2	1	1	3	0	0	-0.718191251210799	455.570238679535	276.530353948204	0.116984571167544	788.619639739479	855.315503002493	0	B0285.7
B0285.7	1	4	1	4	0	0	-0.141079202746512	276.530353948204	250.675776812897	-0.232971964984639	855.315503002493	727.621961248866	0	B0285.7
B0285.7	2	1	1	8	0	0	-0.437334394670382	223.773218120059	164.994535944523	-0.612666744757021	969.386288119776	633.619750009706	0	B0285.7
B0285.7	1	1	1	9	0	0	-0.344717611985506	164.994535944523	129.714405286623	0.529623142485692	633.619750009706	915.106650542598	0	B0285.7
B0285.7	2	3	0	10	0	0	0.136403977934215	129.714405286623	142.676301602159	-0.0170135020531319	915.106650542598	904.366584691558	0	B0285.7
B0348.4u	2	2	1	4	0	0	-0.353211112110419	2156.62778833348	1688.07676293078	0.227475394262518	265.285022321629	310.762342809958	0	B0348.4
B0348.4u	1	2	1	6	0	0	-0.289491600054049	1946.41713970038	1592.35788143601	-1.34689836236861	360.857037422538	141.259151833264	0	B0348.4
B0348.4u	2	4	1	8	0	0	0.14920087589687	1527.95150497603	1694.53847726808	0.0779843570909371	462.212014929096	487.939862888361	0	B0348.4
B0348.4u	1	1	0	12	0	0	-0.0640400575286115	1397.2350881842	1336.52595434306	0.392711349988021	232.932931392742	306.120820202133	0	B0348.4
B0348.5a	1	8	0	5	1	-1	-0.58482568929741	27.5308656615321	18.0223809231516	-0.762557963771993	562.657810109659	331.248254864792	0	B0348.5
B0454.9	2	6	1	4	0	0	-0.245556369500457	642.662722024876	541.923355653315	1.0071745861704	196.676826893621	396.324661865563	0	B0454.9
B0454.9	1	3	0	10	0	0	-0.228846705577096	508.048087372606	433.37926611656	-1.18111463146228	211.178457817523	92.5729574881122	0	B0454.9
C03E10.3	2	2	0	11	0	0	-0.469999517770295	28.5352603204319	20.3234194644975	0.400611745777957	182.297516284283	240.965101440768	0	C03E10.3
C04A2.1.1	2	1	1	11	0	0	-0.0743261207956074	319.238224834832	303.157673678754	-1.31524965576509	266.325277696569	106.426253136339	0	C04A2.1
C04A2.1.1	1	1	0	12	0	0	-0.089123960862862	303.157673678754	284.936628664421	-0.337763465444873	106.426253136339	84.0028513349287	0	C04A2.1
C14C11.1	2	5	0	8	0	0	0.627341763271485	3.49645653312592	5.94574904304589	0.114329574569775	147.476207097999	159.721322024607	0	C14C11.1
C18D4.6c	2	11	0	2	1	-1	0.635789395012881	57.9015287962754	90.5204708776927	0.164038363751642	1384.95874979941	1551.85452712683	0	C18D4.6
C27D8.3b	2	5	0	8	0	0	0.168498377612122	417.826555708548	469.714174400625	-0.313439594897517	2510.69250132692	2020.21144670685	0	C27D8.3
C27H5.11	1	2	1	2	0	0	NA	NA	NA	-0.450883629537266	23.4987698799476	16.9231682347528	0	C27H5.11
C27H5.11	2	1	1	4	0	0	NA	NA	NA	0.703386034730869	16.0085789332017	26.6954435453488	0	C27H5.11
C27H5.11	1	5	1	5	0	0	NA	NA	NA	-0.575881475374319	26.6954435453488	17.5802146436621	0	C27H5.11
C27H5.11	2	2	1	10	0	0	NA	NA	NA	-0.0874341327558597	24.2733859560371	22.7871895355353	0	C27H5.11
C27H5.11	1	1	0	12	0	0	NA	NA	NA	-0.467898505659585	16.0643400960512	11.3378081556346	0	C27H5.11
C28A5.4	1	3	1	5	0	0	-0.0166327075212944	305.737508135961	302.221464711312	-0.496483550993907	149.220684432975	105.481287861973	0	C28A5.4
C28A5.4	2	1	1	8	0	0	-0.332637505112317	208.039163720992	164.994535944523	-0.560788575932476	140.282245776146	94.7796855970197	0	C28A5.4
C28A5.4	1	1	1	9	0	0	-0.574124955415282	164.994535944523	110.497456355271	1.13921061830381	94.7796855970197	209.964788519721	0	C28A5.4
C28A5.4	2	2	1	10	0	0	0.401190300855207	110.497456355271	146.243209142213	-0.420167900700844	209.964788519721	156.661928056805	0	C28A5.4
C28A5.4	1	1	0	12	0	0	1.19384575217841	187.991630046602	431.340531790339	0.736871791287267	92.3699555522944	154.606474849562	0	C28A5.4
C34C12.5.1	2	1	1	8	1	-1	0.0563439023635244	987.748970608073	1027.12814718618	-0.503060504608632	1505.33640659787	1061.8835145592	0	C34C12.5
C34C12.5.1	1	1	1	9	1	-1	-0.328223220748619	1027.12814718618	817.921388890649	1.08965746553324	1061.8835145592	2261.06590180485	0	C34C12.5
C34C12.5.1	2	1	1	10	1	-1	0.22199897460005	817.921388890649	954.147766964442	-0.887260158148525	2261.06590180485	1221.96303884308	0	C34C12.5
C34C12.5.1	1	1	1	11	1	-1	0.0244058184771792	954.147766964442	970.443279429755	0.254439736452358	1221.96303884308	1457.83886371665	0	C34C12.5
C34C12.5.1	2	1	0	12	1	-1	0.629471209990866	970.443279429755	1501.82068367877	-1.39290487311468	1457.83886371665	554.521889793763	0	C34C12.5
